case_id,simulation_id,sample_index,input_sha256,model_kind,algorithm_identity,implementation_revision,status,certificate_status,failure_type,failure_message,data_sha256,scenario_sha256,budget_ratio,budget,beta,lambda_Water,lambda_Vaccine,lambda_Crackers,gamma_D,h_V_tau,a_C,result_sha256,iterations,full_exact_certification_calls,complete_full_exact_certification_calls,first_stage_sha256,policy_label,mixed_aggregate_QF,same_item_QF_coexistence,cross_item_specialization,portfolio_pattern,T_COST,certified_objective,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,exact_worst_case_loss,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_spend,budget_residual,budget_usage,Q_budget_share,F_reservation_budget_share,R_budget_share,emergency_budget_share,Q_Water,F_Water,R_Water,z_R0_Water,z_R1_Water,z_R2_Water,Q_active_Water,F_active_Water,same_item_QF_Water,worst_exercise_Water,worst_shortage_Water,Q_Vaccine,F_Vaccine,R_Vaccine,z_R0_Vaccine,z_R1_Vaccine,z_R2_Vaccine,Q_active_Vaccine,F_active_Vaccine,same_item_QF_Vaccine,worst_exercise_Vaccine,worst_shortage_Vaccine,Q_Crackers,F_Crackers,R_Crackers,z_R0_Crackers,z_R1_Crackers,z_R2_Crackers,Q_active_Crackers,F_active_Crackers,same_item_QF_Crackers,worst_exercise_Crackers,worst_shortage_Crackers,row_sha256,experiment_part,background_simulation_id,background_sample_index,phi,psi,eta_1,eta_2,c_R1_ratio,c_R2_ratio,F_risk,reliability_economics,F_risk_donor_id,reliability_donor_id,shortage_loss_Water,shortage_loss_Vaccine,shortage_loss_Crackers,paid_R_Vaccine,R_level_numeric_Vaccine,F_total,paid_R_any,R1_item_count,R2_item_count
E3B_HIGH_UNFAVORABLE,LA-0914,914,ee8287c989d9f42998cac1b0ade9bc594e098eb99d83ed33e878189f5cc95b45,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,3ff6dfd3d8333dd72f2499a2205f84ea5c50fbfba3a9e12d02994f0d6f73358c,506424520f2bd069ebd246ed325b78cf1745e411c85acec830d14c7bc9d5d410,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,b2c5833ff4a66bc278efa9841d2bfde2ad68e75ce7c5403941f36fcccb634f45,3,2,2,003f22606e2567324bed04b16e7e873f6d7396a30f7a713f09d28ae615816831,P4,False,False,False,Q[NONE]|F[Water+Crackers],1212369344.6019046,1212369344.6019046,0.0,6905986.893921927,0.0,6905986.893921927,h09,5,Katrina,1205463357.7079828,12231918.961516552,1193231438.7464662,1773405612.1674266,108551731.89695969,19137905.85543848,0.0,1.0,0.0,0.3608538439935648,0.0,0.6391461560064352,0.0,20938594.871777847,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,0,1,False,False,False,0.0,9557344.06438629,0.0,197611475.9763264,R0,1,0,0,False,True,False,98151731.89695969,1763848268.1030402,4e4f299f75fab6b1fc8f53c358f911efb11d054ed59929aebddd6759f1a74180,E3B,LA-0914,914,0.21525997935034705,0.7676200933649505,0.23161783770325162,0.44442365034591785,0.10204689175903321,0.3349490361938774,High,Unfavorable,LA-0794,LA-0374,0.0,531999999.99999845,661231438.7464677,False,0,218550070.84810424,False,0,0
E3B_HIGH_UNFAVORABLE,LA-0802,802,08d200d068730669000640f9037f4ea66dcff16c72d21874b825ba042565721f,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,5ad85e4428d1a395bc9002c77c76ae241cc77a5576510f449501b41deb2160e0,2eb1601420acfe5f94fbf4081059438d5995a30c4e0291b8661458ca4c5da3d1,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,657d524df05910dbb5f22ec6f05f37d1da49cd14343e2d681039494a250415ab,3,2,2,838694baa8b44b5c976f9559dd7d7a6fc88b63d9834e6a02bc8ec4d757cfc02c,P4,False,False,False,Q[NONE]|F[Water+Crackers],1236079159.5889647,1236079159.5889647,0.0,7294682.903309751,0.0,7294682.903309751,h09,5,Katrina,1228784476.6856549,11843222.952128727,1216941253.7335262,1836652024.3181415,45305319.74624479,19137905.85543848,0.0,1.0,0.0,0.3811641126469853,0.0,0.6188358873530148,0.0,20938594.871777847,R0,1,0,0,False,True,False,10399999.999999998,1.862645149230957e-09,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,70275802.79196993,R0,1,0,0,False,True,False,34905319.74624479,1827094680.253755,c0ca6e71f1808a6e229298f0f217bce175d91af00d53a199bb1bf84797b41398,E3B,LA-0802,802,0.3620517735218046,1.1834457682207538,0.23161783770325162,0.44442365034591785,0.10204689175903321,0.3349490361938774,High,Unfavorable,LA-0794,LA-0374,4.825741052627564e-09,531999999.99999845,684941253.7335277,False,0,91214397.66374777,False,0,0
E3B_HIGH_UNFAVORABLE,LA-0642,642,df36bdc338b56dbdb6049ba0f8338289089a63b99a8d10e273f60fe82107fd03,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,b4c72d16ae449fe70612f8ac3c347539b2e923b8f6a69e17ae28119635c3caed,da4c5bc63b51dec33c62d7da61537e5dd2de176cbd417e643251beaf6458e494,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,4aca0533caad01d7c3bc01833f68e94ccb5e7e9a6bf9dc811f821db453921582,6,2,2,650931332b6736224d3fe4ef6f10126478a588881bff06d6e4e055ba8c996335,P1,False,False,False,Q[Water+Vaccine]|F[NONE],1221165897.9019191,1221165897.9019191,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1202027992.0464807,0.0,1202027992.0464807,1871054351.6823528,0.0,19137905.85543848,0.0,1.0,1.0,0.0,0.0,0.0,14229721.617536936,0.0,NONE,1,0,0,True,False,False,0.0,0.0,688215.5357769008,0.0,NONE,0,1,0,True,False,False,0.0,9054351.6823527,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,a1b2af795038e621fc70f22fb2d6c7e4a408d932659f23e0cdb9ad2ff65a539b,E3B,LA-0642,642,0.27297467507658774,1.4901263843897259,0.23161783770325162,0.44442365034591785,0.10204689175903321,0.3349490361938774,High,Unfavorable,LA-0794,LA-0374,0.0,504001432.04648066,698026560.0,False,0,0.0,False,0,0
E3B_HIGH_UNFAVORABLE,LA-0765,765,029044c21e5aaa3ef1fdc23ba9f93ecbcab421d4ba2aea33a2a93e86bd5dc97c,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,b9e41973b2b01f1889aab9d07191197ba50c8cbcf4379fe84a9fa81f72c4ef85,efd7c2926ff834eae976ac408a94d8963f8d1e920fa2ee28f9d08d4b2dcfd1d1,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,27522ae7f00a68d794cf67e264a452f290a0d382302b1289258a0799f4407092,3,2,2,91d8ace91fbc915ec3f29ca1b14f6ae2b267509336618a20472f7c95526209a5,P4,False,False,False,Q[NONE]|F[Crackers],1225081896.5620434,1225081896.5620434,0.0,332150.57155292196,0.0,332150.57155292196,h09,5,Katrina,1224749745.9904904,18805755.283885557,1205943990.706605,1745842082.3982701,136115261.66611633,19137905.85543848,0.0,1.0,0.0,0.01735563828466288,0.0,0.9826443617153372,0.0,0.0,NONE,0,1,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,0,1,False,False,False,0.0,9557344.06438629,0.0,274044453.83585036,R0,1,0,0,False,True,False,136115261.66611633,1725884738.3338838,7b6719ad4d474e74bcaa7df8a0111ef2660db4e79dfc76bca536a549e6a0c3eb,E3B,LA-0765,765,0.01293247677090883,1.4741839484477675,0.23161783770325162,0.44442365034591785,0.10204689175903321,0.3349490361938774,High,Unfavorable,LA-0794,LA-0374,26944320.000000004,531999999.99999845,646999670.7066064,False,0,274044453.83585036,False,0,0
E3B_HIGH_UNFAVORABLE,LA-0334,334,edaf1d3f884b2a1b1bc5dfef3d1a8ae510e3ba39112540125e89d3ae561834b0,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,c493532d0a1b2ae19c47da7f13d0035827da46f8911708db21bbc9adccf8a616,ee61dd666660520de6e735cad02145231a3b269b4f8cc724a16b1b75b46406fa,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,9d703993a3d6e3112dcb3773626fac8ad2cbd8f477c6cb1490b846b8776ee7fe,3,2,2,769aa7a8d4fa37773b1fa32730a3d83e4f007c782aa83ba6783348c5df71d79c,P4,False,False,False,Q[NONE]|F[Crackers],1225147755.9767084,1225147755.9767084,0.0,765278.8110196296,0.0,765278.8110196296,h09,5,Katrina,1224382477.1656888,18372627.044418845,1206009850.12127,1746017763.722067,135939580.3423192,19137905.855438475,3.725290298461914e-09,0.9999999999999998,0.0,0.039987594086850306,0.0,0.9600124059131495,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,273690749.9833959,R0,1,0,0,False,True,False,135939580.3423192,1726060419.6576807,55ee054d93940fe8a931bb7db6fc14c980ff4e84b078833efc888a4573c0c623,E3B,LA-0334,334,0.02983508566707432,1.4420922880200795,0.23161783770325162,0.44442365034591785,0.10204689175903321,0.3349490361938774,High,Unfavorable,LA-0794,LA-0374,26944320.000000004,531999999.99999845,647065530.1212714,False,0,273690749.9833959,False,0,0
E3B_HIGH_UNFAVORABLE,LA-0396,396,4a8ce3956cb01a1d091e6fc01863a6d00473bea19495791f759d72580abea560,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,55ca1997f611240958420bf09e886016c35d69be607e50d04789c7efca29c997,88666bda6dd2d697308b939814b2e93e7618dd201966d7ee793084e7460b5937,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,30c0c7472f305472b6fd8e441fea9d6dc4e1963794659daa2ecc1583ebf01089,3,2,2,b75b3151b786e6e4f087f3b3eda0f498c2ca956742a2de1edd226b7440edf8b3,P4,False,False,False,Q[NONE]|F[Water+Crackers],1207411434.296625,1207411434.296625,0.0,6749681.129543663,0.0,6749681.129543663,h09,5,Katrina,1200661753.167081,12388224.725894814,1188273528.4411862,1760180285.9156127,121777058.14877364,19137905.85543848,0.0,1.0,0.0,0.35268650501933496,0.0,0.6473134949806649,0.0,20938594.871777847,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,0,1,False,False,False,0.0,9557344.06438629,0.0,224238374.86419374,R0,1,0,0,False,True,False,111377058.14877364,1750622941.8512263,07e6350fb87e9195e73f3fa98b3c9d0e7178213f717999e2cc5dfb28c97a73dc,E3B,LA-0396,396,0.19520415540375965,0.721321823609993,0.23161783770325162,0.44442365034591785,0.10204689175903321,0.3349490361938774,High,Unfavorable,LA-0794,LA-0374,0.0,531999999.99999845,656273528.4411877,False,0,245176969.73597157,False,0,0
E3B_HIGH_UNFAVORABLE,LA-0358,358,65f12d3443be917eb572e0eca29833f1866f1a45141d44db32bfff161cc2c593,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,7a8ef6ca61fac390e439a3c40820801b39dac8f0f853a6e41998ef5735f8fb6d,9dfb8dfaabff89981da1e7e67876e7a95fc6dc9df1801461135c57c63b33d106,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,f0c5782c630288861d179a71cc4c6ed6b5ad5ef4f31c9205a12377215efaa6e1,3,2,2,a704c5da1f5e76dca34065dbb3f3dc31bae0c8b03b5af0a26045965d7291e26a,P4,False,False,False,Q[NONE]|F[Water+Crackers],1162537686.3344252,1162537686.3344252,0.0,2001851.7862608768,0.0,2001851.7862608768,h09,5,Katrina,1160535834.5481644,17136054.0691776,1143399780.4789867,1640478653.4940393,241478690.57034704,19137905.85543848,0.0,1.0,0.0,0.1046014021273913,0.0,0.8953985978726087,0.0,20938594.871777847,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,0,1,False,False,False,-2.2177506790120737e-10,9557344.06438629,0.0,465236835.1301355,R0,1,0,0,False,True,False,231078690.57034704,1630921309.429653,082d28ee0893685966ea7d95800e952399635b5197d6490b5dff7c9d1b3dee37,E3B,LA-0358,358,0.03501949556891065,0.6035357284185586,0.23161783770325162,0.44442365034591785,0.10204689175903321,0.3349490361938774,High,Unfavorable,LA-0794,LA-0374,0.0,531999999.99999845,611399780.4789883,False,0,486175430.0019133,False,0,0
E3B_HIGH_UNFAVORABLE,LA-0467,467,10bba651114fcf8a3e1f592ebce456644653baea223751f04413e110919e8399,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,c66d19a0de82cae237f1367d1a5791f017c3dc2168db0d4506247d300fbde1ef,fc73f5e7c61e271849d06454b4e05fd6f047983b2c134a31e27e4fd50dca9a9e,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,ddcbda23f04580cb53438a353446f7d7f6e2c7ab49c30a83586863685e8a044d,3,2,2,d54cce715473c744c26b52c071b8fa53632559f3cfa9e1c31b3d74386891dfa4,P4,False,False,False,Q[NONE]|F[Crackers],1224508957.2098684,1224508957.2098684,0.0,10109862.690464703,2146541.16352191,12256403.853986613,h09,5,Katrina,1212252553.355882,6881502.001451865,1205371051.35443,1744313755.0610557,137643589.0033308,19137905.85543848,0.0,1.0,0.0,0.5282637905542708,0.1121617579131272,0.3595744515326021,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,224443565.9784835,R1,0,1,0,False,True,False,137643589.0033308,1724356410.9966693,97e5c552baacd03754f7087861c96ae97144f36e68abf47f1154094a5ff9f6de,E3B,LA-0467,467,0.4806244022732012,0.5334515390521819,0.23161783770325162,0.44442365034591785,0.10204689175903321,0.3349490361938774,High,Unfavorable,LA-0794,LA-0374,26944320.000000004,531999999.99999845,646426731.3544314,False,0,224443565.9784835,True,1,0
E3B_HIGH_UNFAVORABLE,LA-0021,21,9c0c8e916a30a3fa9f17a2b27ecaaa74ee626fafee16b17aef6e1fa739cc5936,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,af88d61b88e646223310684d7f89bd7ed51673abbe8a4da06a03eefc4f9ee53f,787f52bd09fef1399c38ce47b52fa2b838a0be4cfb560f2f2a77d6dd3d487b00,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,634714ceb91f5d72a09cfa6ce9f336a50bbd7fb62cad04bbae8819623db293a2,3,2,2,3017632c42e52d9d2e8d86a386e74261fc0ac685bfd00152f0bd6de1c6f23697,P4,False,False,False,Q[NONE]|F[Crackers],1232052915.3417597,1232052915.3417597,0.0,3812453.897058777,0.0,3812453.897058777,h09,5,Katrina,1228240461.444701,15325451.9583797,1212915009.4863212,1764437416.3177013,117519927.74668506,19137905.85543848,0.0,1.0,0.0,0.19920956482160665,0.0,0.8007904351783933,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,0,1,False,False,False,0.0,9557344.06438629,0.0,236605976.5815811,R0,1,0,0,False,True,False,117519927.74668506,1744480072.253315,ca00bffa1450e674b1109ced130ff06cac11dbb6b39f58c012227b56155ef301,E3B,LA-0021,21,0.17192799958479546,1.3914560561114655,0.23161783770325162,0.44442365034591785,0.10204689175903321,0.3349490361938774,High,Unfavorable,LA-0794,LA-0374,26944320.000000004,531999999.99999845,653970689.4863228,False,0,236605976.5815811,False,0,0
E3B_HIGH_UNFAVORABLE,LA-0148,148,7151e912cd4a11e3ecf51701a50a70afb496f08ac17c31ec24434fead2eac7fd,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,18b02e00e530bad479a874780cf50436cd2e3ee86ceb0e5cbbe187c6668e26e0,ad517005280dffe036ce1047e61925c20d65c18106cb30fb07678b8692d14088,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,f5dcd52ad89caa775f65eadd0635ef73861ad1de5f9abc16ef65638f835ea239,7,2,2,c75ced6d7f7c45cae22a716a080386ec856416a71e8d9ccdc434a62894b0b5d1,P1,False,False,False,Q[Water+Vaccine]|F[NONE],1237882994.6648107,1237882994.6648107,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1218745088.8093722,0.0,1218745088.8093722,1871354673.196489,0.0,19137905.85543848,0.0,1.0,1.0,0.0,0.0,0.0,20608685.87785441,0.0,NONE,1,0,0,True,False,False,0.0,0.0,401613.4858734861,0.0,NONE,0,1,0,True,False,False,0.0,9354673.196489152,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,ffe3f8c8c9d316aa527c56a130ea8a17718606a8f48caad5ab1322e9853c9539,E3B,LA-0148,148,0.4948772633961339,1.3230812760205821,0.23161783770325162,0.44442365034591785,0.10204689175903321,0.3349490361938774,High,Unfavorable,LA-0794,LA-0374,0.0,520718528.8093721,698026560.0,False,0,0.0,False,0,0
