record_id,record_type,source_reference,source_locator,field_or_identity,status,observed_evidence,missing_information,disposition,notes
LITERATURE-188-IDENTITY,UNPUBLISHED_AUTHOR_DATA,Balcik et al. (2019),reported historical event count,author_final_event_list,UNRESOLVED,188 reported historical hurricane events,author final merged row identities and deduplication decisions,188 retained only as literature validation anchor,Canonical reconstruction is not count-constrained.
LITERATURE-310-REALIZATIONS,UNPUBLISHED_AUTHOR_DATA,Balcik et al. (2019),62 x 5 scenario construction,generated_scenarios,NOT_RECONSTRUCTED_R6I_SCOPE,310 model-generated season scenarios,random seed and realization table,excluded from historical canonical layer,Not historical events.
LITERATURE-67-68,LITERATURE_CONFLICT,Balcik author-chain,1950-2017 horizon versus reported 67 seasons,historical_season_count,UNRESOLVED,68 inclusive calendar years; literature reports 67 hurricane seasons,author season-count convention,nonblocking for historical source layer,No correction inferred.
LITERATURE-PERIODIZATION,LITERATURE_CONFLICT,Balcik author-chain,May 1-Dec 31 and 16 two-week periods,two_week_period,UNRESOLVED,16 x 14 days does not cover May 1-Dec 31,exact unpublished calendar boundaries,left null; scenario periodization is outside R6-I,No boundary selected.
MATCH-CHN-MYAB-19651017-066,SOURCE_MATCH,CARIBBEAN_HURRICANE_NETWORK,MYAB_all_isl.htm:storm_row:66,hurdat_storm_id,AMBIGUOUS,AL061965|AL091965,CHN row did not resolve to exactly one HURDAT storm by name/date,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-CHN-MYBS-19531005-056,SOURCE_MATCH,CARIBBEAN_HURRICANE_NETWORK,MYBS_all_isl.htm:storm_row:56,hurdat_storm_id,AMBIGUOUS,AL101953|AL111953,CHN row did not resolve to exactly one HURDAT storm by name/date,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-CHN-MYGF-19531005-060,SOURCE_MATCH,CARIBBEAN_HURRICANE_NETWORK,MYGF_all_isl.htm:storm_row:60,hurdat_storm_id,AMBIGUOUS,AL101953|AL111953,CHN row did not resolve to exactly one HURDAT storm by name/date,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-CHN-TABA-19550102-036,SOURCE_MATCH,CARIBBEAN_HURRICANE_NETWORK,TABA_all_isl.htm:storm_row:36,hurdat_storm_id,UNMATCHED,,CHN row did not resolve to exactly one HURDAT storm by name/date,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-CHN-TKNV-19550102-040,SOURCE_MATCH,CARIBBEAN_HURRICANE_NETWORK,TKNV_all_isl.htm:storm_row:40,hurdat_storm_id,UNMATCHED,,CHN row did not resolve to exactly one HURDAT storm by name/date,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-CHN-TKPK-19550102-038,SOURCE_MATCH,CARIBBEAN_HURRICANE_NETWORK,TKPK_all_isl.htm:storm_row:38,hurdat_storm_id,UNMATCHED,,CHN row did not resolve to exactly one HURDAT storm by name/date,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-CHN-TQPF-19550102-040,SOURCE_MATCH,CARIBBEAN_HURRICANE_NETWORK,TQPF_all_isl.htm:storm_row:40,hurdat_storm_id,UNMATCHED,,CHN row did not resolve to exactly one HURDAT storm by name/date,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-CHN-TXKF-19650930-039,SOURCE_MATCH,CARIBBEAN_HURRICANE_NETWORK,TXKF_all_isl.htm:storm_row:39,hurdat_storm_id,AMBIGUOUS,AL041965|AL051965|AL081965,CHN row did not resolve to exactly one HURDAT storm by name/date,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-CHN-TXKF-19701016-040,SOURCE_MATCH,CARIBBEAN_HURRICANE_NETWORK,TXKF_all_isl.htm:storm_row:40,hurdat_storm_id,AMBIGUOUS,AL151970|AL181970,CHN row did not resolve to exactly one HURDAT storm by name/date,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-1955-0004-KNA,SOURCE_MATCH,EM_DAT,row:1046,hurdat_storm_id,UNMATCHED,,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-1955-0025-AIA,SOURCE_MATCH,EM_DAT,row:697,hurdat_storm_id,UNMATCHED,,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-1966-0132-BHS,SOURCE_MATCH,EM_DAT,row:1090,hurdat_storm_id,AMBIGUOUS,AL091966,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-1970-0120-DMA,SOURCE_MATCH,EM_DAT,row:1100,hurdat_storm_id,TRACK_DERIVED_CANDIDATE,AL081970|AL091970,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
MATCH-EMDAT-1974-0046-BLZ,SOURCE_MATCH,EM_DAT,row:768,hurdat_storm_id,UNMATCHED,,EM-DAT row lacks a unique named HURDAT match with complete overlapping dates,excluded from canonical country inclusion; retained in evidence layer,No manual match added.
