case_id,simulation_id,sample_index,input_sha256,model_kind,algorithm_identity,implementation_revision,status,certificate_status,failure_type,failure_message,data_sha256,scenario_sha256,budget_ratio,budget,beta,lambda_Water,lambda_Vaccine,lambda_Crackers,gamma_D,h_V_tau,a_C,result_sha256,iterations,full_exact_certification_calls,complete_full_exact_certification_calls,first_stage_sha256,policy_label,mixed_aggregate_QF,same_item_QF_coexistence,cross_item_specialization,portfolio_pattern,T_COST,certified_objective,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,exact_worst_case_loss,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_spend,budget_residual,budget_usage,Q_budget_share,F_reservation_budget_share,R_budget_share,emergency_budget_share,Q_Water,F_Water,R_Water,z_R0_Water,z_R1_Water,z_R2_Water,Q_active_Water,F_active_Water,same_item_QF_Water,worst_exercise_Water,worst_shortage_Water,Q_Vaccine,F_Vaccine,R_Vaccine,z_R0_Vaccine,z_R1_Vaccine,z_R2_Vaccine,Q_active_Vaccine,F_active_Vaccine,same_item_QF_Vaccine,worst_exercise_Vaccine,worst_shortage_Vaccine,Q_Crackers,F_Crackers,R_Crackers,z_R0_Crackers,z_R1_Crackers,z_R2_Crackers,Q_active_Crackers,F_active_Crackers,same_item_QF_Crackers,worst_exercise_Crackers,worst_shortage_Crackers,row_sha256,experiment_part,background_simulation_id,background_sample_index,phi,psi,eta_1,eta_2,c_R1_ratio,c_R2_ratio,F_risk,reliability_economics,F_risk_donor_id,reliability_donor_id,shortage_loss_Water,shortage_loss_Vaccine,shortage_loss_Crackers,paid_R_Vaccine,R_level_numeric_Vaccine,F_total,paid_R_any,R1_item_count,R2_item_count
E3B_HIGH_REFERENCE,LA-0914,914,ee8287c989d9f42998cac1b0ade9bc594e098eb99d83ed33e878189f5cc95b45,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,2791be53eb9a03b4a0db2f692bcb31b4045edb785af5f029f89475be3f0afda4,506424520f2bd069ebd246ed325b78cf1745e411c85acec830d14c7bc9d5d410,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,b43b503987eb7007f620bae440577994c43def015b22b391be6a9f31e6e5c898,3,2,2,f24fa65ae2fdba20b87d006d632c7b46dd7f6210e6ef876818329c5ffda01a39,P4,False,False,False,Q[NONE]|F[Water+Crackers],1212369344.6019046,1212369344.6019046,0.0,6905986.893921927,0.0,6905986.893921927,h09,5,Katrina,1205463357.7079828,12231918.961516552,1193231438.7464662,1773405612.1674266,108551731.89695969,19137905.85543848,0.0,1.0,0.0,0.3608538439935648,0.0,0.6391461560064352,0.0,20938594.871777847,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,197611475.9763264,R0,1,0,0,False,True,False,98151731.89695969,1763848268.1030402,746d816ab372f4e4747d1006817f94e70a3595b69142b798fc64c00b70cfc4d4,E3B,LA-0914,914,0.21525997935034705,0.7676200933649505,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,High,Reference,LA-0794,LA-0427,0.0,531999999.99999845,661231438.7464677,False,0,218550070.84810424,False,0,0
E3B_HIGH_REFERENCE,LA-0802,802,08d200d068730669000640f9037f4ea66dcff16c72d21874b825ba042565721f,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,cb47ee79d028d216b05a0b39c5da1fc7c250d7d5ce5a4c38736dde287df7fc42,2eb1601420acfe5f94fbf4081059438d5995a30c4e0291b8661458ca4c5da3d1,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,d45757f14d68f6713b007760459645d9c6396bd97fea84bb9208f0a73153e48b,3,2,2,499999dc0405284ed282709d2e960fc2afc66b579ec707ba0a6819efecedcaee,P4,False,False,False,Q[NONE]|F[Water+Crackers],1236079159.5889647,1236079159.5889647,0.0,7294682.903309751,0.0,7294682.903309751,h09,5,Katrina,1228784476.6856549,11843222.952128727,1216941253.7335262,1836652024.3181415,45305319.74624479,19137905.85543848,0.0,1.0,0.0,0.3811641126469853,0.0,0.6188358873530148,0.0,20938594.871777847,R0,1,0,0,False,True,False,10399999.999999998,1.862645149230957e-09,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,70275802.79196993,R0,1,0,0,False,True,False,34905319.74624479,1827094680.253755,e7b41dee273c77c73cb4276570bf09ac8d20b4538ea746feb662601153550c0a,E3B,LA-0802,802,0.3620517735218046,1.1834457682207538,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,High,Reference,LA-0794,LA-0427,4.825741052627564e-09,531999999.99999845,684941253.7335277,False,0,91214397.66374777,False,0,0
E3B_HIGH_REFERENCE,LA-0642,642,df36bdc338b56dbdb6049ba0f8338289089a63b99a8d10e273f60fe82107fd03,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,1eb4541a6b185691c331c590cd271340fedaa9678a9cc8e11b2502cd2423e4e8,da4c5bc63b51dec33c62d7da61537e5dd2de176cbd417e643251beaf6458e494,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,aefb8ffaf91bf8a73d18bb41548bc2d38aa08b7d2c4da515c8262352418d4c57,6,2,2,3addb77cb382d313bea02ce22b755b094dc1fc938375e15c3aabfc211ef783b0,P1,False,False,False,Q[Water+Vaccine]|F[NONE],1221165897.9019191,1221165897.9019191,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1202027992.0464807,0.0,1202027992.0464807,1871054351.6823528,0.0,19137905.85543848,0.0,1.0,1.0,0.0,0.0,0.0,14229721.617536936,0.0,NONE,1,0,0,True,False,False,0.0,0.0,688215.5357769008,0.0,NONE,0,1,0,True,False,False,0.0,9054351.6823527,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,440c39674e9c70d347b38e87fd12c0c14f7a44467897f5747173a3e4a92d9b84,E3B,LA-0642,642,0.27297467507658774,1.4901263843897259,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,High,Reference,LA-0794,LA-0427,0.0,504001432.04648066,698026560.0,False,0,0.0,False,0,0
E3B_HIGH_REFERENCE,LA-0765,765,029044c21e5aaa3ef1fdc23ba9f93ecbcab421d4ba2aea33a2a93e86bd5dc97c,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,0695a700095ca997d07116c0f1eaaa05818ee10abdebae52883df28b78b54b01,efd7c2926ff834eae976ac408a94d8963f8d1e920fa2ee28f9d08d4b2dcfd1d1,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,496b773fa51fc2fb8ab3663539abe104b66dd270599c9748af7dd8be57706493,3,2,2,5fe9c34d99234508532d6c43278f014b248a552e875e04fcae97f457e86b210b,P4,False,False,False,Q[NONE]|F[Crackers],1225081896.5620434,1225081896.5620434,0.0,332150.57155292196,0.0,332150.57155292196,h09,5,Katrina,1224749745.9904904,18805755.283885557,1205943990.706605,1745842082.3982701,136115261.66611633,19137905.85543848,0.0,1.0,0.0,0.01735563828466288,0.0,0.9826443617153372,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,274044453.83585036,R0,1,0,0,False,True,False,136115261.66611633,1725884738.3338838,d02db85e2d7c5c9e39cafc5ee64d07357d0b9ec256df90f7c3445f3a17faaa6b,E3B,LA-0765,765,0.01293247677090883,1.4741839484477675,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,High,Reference,LA-0794,LA-0427,26944320.000000004,531999999.99999845,646999670.7066064,False,0,274044453.83585036,False,0,0
E3B_HIGH_REFERENCE,LA-0334,334,edaf1d3f884b2a1b1bc5dfef3d1a8ae510e3ba39112540125e89d3ae561834b0,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,e209f85c9dadcf246df739d48faa8b932065e5c020746ee2cbdbeb1d718cfdb8,ee61dd666660520de6e735cad02145231a3b269b4f8cc724a16b1b75b46406fa,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,e0a2f66a3d77653f58b7c25fbec5fe418250a7e1f01b4ea61c3bc58a8a932b94,3,2,2,cf2ce09f38ceb201e6ceed7a1cea8095d72f7b4bde468745697707f22ee5aad1,P4,False,False,False,Q[NONE]|F[Crackers],1225147755.9767084,1225147755.9767084,0.0,765278.8110196296,0.0,765278.8110196296,h09,5,Katrina,1224382477.1656888,18372627.044418845,1206009850.12127,1746017763.722067,135939580.3423192,19137905.855438475,3.725290298461914e-09,0.9999999999999998,0.0,0.039987594086850306,0.0,0.9600124059131495,0.0,0.0,NONE,0,1,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,273690749.9833959,R0,1,0,0,False,True,False,135939580.3423192,1726060419.6576807,460208a6d7c4173076e87a291dc81f5f894a85fad55b1f342713f2d5eacfa7bc,E3B,LA-0334,334,0.02983508566707432,1.4420922880200795,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,High,Reference,LA-0794,LA-0427,26944320.000000004,531999999.99999845,647065530.1212714,False,0,273690749.9833959,False,0,0
E3B_HIGH_REFERENCE,LA-0396,396,4a8ce3956cb01a1d091e6fc01863a6d00473bea19495791f759d72580abea560,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,f7d103ba263c3c957b553cf889ed9193883123f37e0b55bcf8a745d5c57546fe,88666bda6dd2d697308b939814b2e93e7618dd201966d7ee793084e7460b5937,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,e043816ceef538715cc20cff8adff05639ee71f801b7e634d46ddab8312bab61,3,2,2,f5b170ca5c4af7547d9758c13806874c0ad0b154ac33a9cb264ec0dfde7926c9,P4,False,False,False,Q[NONE]|F[Water+Crackers],1207411434.296625,1207411434.296625,0.0,6749681.129543663,0.0,6749681.129543663,h09,5,Katrina,1200661753.167081,12388224.725894814,1188273528.4411862,1760180285.9156127,121777058.14877364,19137905.85543848,0.0,1.0,0.0,0.35268650501933496,0.0,0.6473134949806649,0.0,20938594.871777847,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,224238374.86419374,R0,1,0,0,False,True,False,111377058.14877364,1750622941.8512263,ca9afb0866c6d2c6d723fb0cbfef84d6b86478bb6d5bd26045fd3d065ada0829,E3B,LA-0396,396,0.19520415540375965,0.721321823609993,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,High,Reference,LA-0794,LA-0427,0.0,531999999.99999845,656273528.4411877,False,0,245176969.73597157,False,0,0
E3B_HIGH_REFERENCE,LA-0358,358,65f12d3443be917eb572e0eca29833f1866f1a45141d44db32bfff161cc2c593,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,70f99ba84d38f855fa02caad0404b62f8f7d0594d5485b9f34b1e18e75185236,9dfb8dfaabff89981da1e7e67876e7a95fc6dc9df1801461135c57c63b33d106,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,9d8bc61f9347127f13d0a4cab95fa29048d25b8b17be983b6cb65ce9c0f6b412,3,2,2,09de394c716630e765abea018e495bba8424451f90eee5b1bcc30e31d2c7df05,P4,False,False,False,Q[NONE]|F[Water+Vaccine],1162537686.3344252,1162537686.3344252,0.0,2001851.7862608766,0.0,2001851.7862608766,h09,5,Katrina,1160535834.5481644,17136054.069177598,1143399780.4789867,1879596712.55499,2360631.509396313,19137905.855438475,3.725290298461914e-09,0.9999999999999998,0.0,0.10460140212739129,0.0,0.8953985978726086,0.0,676420.6877657915,R0,1,0,0,False,True,False,335971.69226699526,10064028.307733005,0.0,4076301.1215421744,R0,1,0,0,False,True,False,2024659.817129318,7532684.247256972,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,7afff29064b178e8f534b75fce89d637f1c7b44a7379265965631f694323e5da,E3B,LA-0358,358,0.03501949556891065,0.6035357284185586,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,High,Reference,LA-0794,LA-0427,26073884.53967467,419299335.9393121,698026560.0,False,0,4752721.809307966,False,0,0
E3B_HIGH_REFERENCE,LA-0467,467,10bba651114fcf8a3e1f592ebce456644653baea223751f04413e110919e8399,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,cc3a619334c3e224433726bb8227e01010d5319cf0d8d8862fc689a735a882b1,fc73f5e7c61e271849d06454b4e05fd6f047983b2c134a31e27e4fd50dca9a9e,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,a843469edc931e6aa0e9b5f5ec54310024cb88286f946c9609642b45c7a64a4b,3,2,2,c427922372ad931e6eb3f6002d4fc0e9b4374199ca828f3fe30d0cf0b9fa24b0,P4,False,False,False,Q[NONE]|F[Vaccine],1225048543.3934448,1225048543.3934448,0.0,8028557.811134598,4299806.812872043,12328364.62400664,h09,5,Katrina,1212720178.769438,6809541.231431835,1205910637.5380063,1881040050.2575812,917293.8068049774,19137905.855438475,3.725290298461914e-09,0.9999999999999998,0.0,0.4195107799034918,0.22467488581830145,0.35581433427820663,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,1200375.994898833,R2,0,0,1,False,True,False,917293.8068049774,8640050.257581312,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,026473c84cd9336bde88bd6def63b550b6b8d012a89d89ecb5268460a0e342b9,E3B,LA-0467,467,0.4806244022732012,0.5334515390521819,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,High,Reference,LA-0794,LA-0427,26944320.000000004,480939757.5380062,698026560.0,True,2,1200375.994898833,True,0,1
E3B_HIGH_REFERENCE,LA-0021,21,9c0c8e916a30a3fa9f17a2b27ecaaa74ee626fafee16b17aef6e1fa739cc5936,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,8a1e0fa97fdd779af7ae39702da49ada726b7af04109196df119c42cd1891861,787f52bd09fef1399c38ce47b52fa2b838a0be4cfb560f2f2a77d6dd3d487b00,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,1d2d3833fcbb589dde7eaadac5f7a3c254771530f568dfee42960bbb5a4222bf,3,2,2,01ba88de7027f95ff98770809efe5ed8ae9c939289000d41186da96539153e09,P4,False,False,False,Q[NONE]|F[Vaccine],1232052915.3417597,1232052915.3417597,0.0,3812453.897058776,0.0,3812453.897058776,h09,5,Katrina,1228240461.444701,15325451.958379703,1212915009.4863212,1881165883.3265004,791460.737885838,19137905.85543848,0.0,1.0,0.0,0.1992095648216066,0.0,0.8007904351783934,0.0,0.0,NONE,0,1,0,False,False,False,0.0,10400000.0,0.0,1593468.8218759538,R0,1,0,0,False,True,False,791460.737885838,8765883.326500451,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,1a8a44183880f3a1ecf2806b2050f5d42ad6f6564c05ef52a407e879f6c7af6b,E3B,LA-0021,21,0.17192799958479546,1.3914560561114655,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,High,Reference,LA-0794,LA-0427,26944320.000000004,487944129.48632115,698026560.0,False,0,1593468.8218759538,False,0,0
E3B_HIGH_REFERENCE,LA-0148,148,7151e912cd4a11e3ecf51701a50a70afb496f08ac17c31ec24434fead2eac7fd,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,204899cdd71b8589cf1a9c118b768200802197a2c3584fd453b4dd98659f1662,ad517005280dffe036ce1047e61925c20d65c18106cb30fb07678b8692d14088,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,281056b4c9bb7841debfec061a2407e3be513d467dc03f66dcab07ffd36d0d8d,7,2,2,bce7a1e58faa6371ee2899bbee59ffb77a1ef1057c2ed5af6d5e2e4e49fb0728,P1,False,False,False,Q[Water+Vaccine]|F[NONE],1237882994.6648107,1237882994.6648107,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1218745088.8093722,0.0,1218745088.8093722,1871354673.196489,0.0,19137905.85543848,0.0,1.0,1.0,0.0,0.0,0.0,20608685.87785441,0.0,NONE,1,0,0,True,False,False,0.0,0.0,401613.4858734861,0.0,NONE,0,1,0,True,False,False,0.0,9354673.196489152,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,7616888507fcbd23666b9b3e6e77537ff9906349f7c7715193a8fc8b5a331c67,E3B,LA-0148,148,0.4948772633961339,1.3230812760205821,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,High,Reference,LA-0794,LA-0427,0.0,520718528.8093721,698026560.0,False,0,0.0,False,0,0
