simulation_id,input_sha256,old_failure_category,old_failure_message,old_stage,old_phase,old_scenario_id,old_scenario_identity,solver_status,solver_termination,replay_status,replay_diagnostic,audit_kind,audit_scenario_id,audit_scenario_identity,validation_exception,budget_residual,objective_epigraph_label,objective_epigraph_reference,objective_epigraph_absolute_violation,objective_epigraph_relative_violation,budget_label,budget_reference,budget_absolute_violation,budget_relative_violation,quantity_nonnegative_label,quantity_nonnegative_reference,quantity_nonnegative_absolute_violation,quantity_nonnegative_relative_violation,fulfillment_capacity_label,fulfillment_capacity_reference,fulfillment_capacity_absolute_violation,fulfillment_capacity_relative_violation,demand_flow_label,demand_flow_reference,demand_flow_absolute_violation,demand_flow_relative_violation,other_model_constraint_label,other_model_constraint_reference,other_model_constraint_absolute_violation,other_model_constraint_relative_violation
LA-0007,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1224346583.252803,2.384185791015625e-07,1.9473128145474952e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",1.0,0.0,0.0,"demand_balance[Seasonal Influenza Vaccine,h09]",9557344.06438629,1.862645149230957e-09,1.948915029826923e-16,one_reliability_level[Water],1.0,0.0,0.0
LA-0012,5c1441ad663de3d58521ae8885de5adade81efac16c906e57da0eb3982b22bde,oracle_failure,Full exact certification was incomplete,exact_oracle,full_exact_certification,h09,e17787cc892498451c233af74bb7236bb28b1a19c0f77e7b1df3007d3621bf79,warning,infeasible,oracle_failure,Full exact certification was incomplete,exact_recourse,h09,e17787cc892498451c233af74bb7236bb28b1a19c0f77e7b1df3007d3621bf79,unavailable,-17965376.546061948,unavailable,1.0,0.0,0.0,fixed_total_budget,18146405.511449322,0.0,0.0,exercise[Water] nonnegative,1.0,0.0,0.0,exercise_limit[Water],343683.8549594058,0.0,0.0,demand_balance[Water],10400000.0,0.0,0.0,unavailable,1.0,0.0,0.0
LA-0018,88740ccdbf47f9612cd99ce867900cdc74d3705aedf2a3bdefb1d376a8ffba59,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1225975436.7166808,2.384185791015625e-07,1.9447255790057099e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",1.0,0.0,0.0,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
LA-0021,9c0c8e916a30a3fa9f17a2b27ecaaa74ee626fafee16b17aef6e1fa739cc5936,oracle_failure,Memory exact evaluation failed,exact_oracle,memory,h19,720428bbff10d49f44a448fcd01bbee55bbc5e0512d6b37abcb48af73cd85062,warning,infeasible,oracle_failure,Memory exact evaluation failed,exact_recourse,h19,720428bbff10d49f44a448fcd01bbee55bbc5e0512d6b37abcb48af73cd85062,unavailable,-14054414.923445499,unavailable,1.0,0.0,0.0,fixed_total_budget,18146405.511449322,0.0,0.0,exercise[Water] nonnegative,1.0,0.0,0.0,exercise_limit[Water],13734166.445249038,0.0,0.0,demand_balance[Water],70000000.0,0.0,0.0,unavailable,1.0,0.0,0.0
LA-0043,bdc5747811a264908bd755c96486e7c3da7a6a1accb92f6f33a43cd1292740ff,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1234083417.285012,2.384185791015625e-07,1.9319486491932956e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",70000000.0,0.0,0.0,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
LA-0050,c0506d4ba38d90166b8124e9708158837f721cd06ef88fe92e1fde8a5c6c0e7c,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1218948772.799075,2.384185791015625e-07,1.9559360033980867e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",70000000.0,0.0,0.0,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
LA-0052,8393d2ec315cc810dc2bb9cf9dff8524763ca7deae7190abebab5fe855333c96,oracle_failure,Full exact certification was incomplete,exact_oracle,full_exact_certification,h09,02e8df807f7f33dc181cd076a375d6a1cbbdb545eff94b4ff20b76bbac6f961d,warning,infeasible,oracle_failure,Full exact certification was incomplete,exact_recourse,h09,02e8df807f7f33dc181cd076a375d6a1cbbdb545eff94b4ff20b76bbac6f961d,unavailable,-15489343.690889515,unavailable,1.0,0.0,0.0,fixed_total_budget,18146405.511449322,0.0,0.0,exercise[Water] nonnegative,1.0,0.0,0.0,exercise_limit[Water],10400000.0,0.0,0.0,demand_balance[Water],10400000.0,0.0,0.0,unavailable,1.0,0.0,0.0
LA-0068,60cb9806f6539dee04a0c52f4acd201386b18ff64aaf42e6767f8696c9abba82,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1228963388.9659603,2.384185791015625e-07,1.9399974095417597e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",70000000.0,0.0,0.0,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
LA-0083,a5228df1055d490679fdd9d6298c014804b6b251a772e20eabc5cabfe6a6f64a,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1220595665.0849564,2.384185791015625e-07,1.9532969510011162e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",1.0,0.0,0.0,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
LA-0103,df1d73f9ded0745380418ef8366c146852a901f468bb9dc8b3a8546d58bb60c4,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master_validation,unavailable,unavailable,unavailable,optimal_loaded_solution,optimal,exception,Q-F-R invariant failed: worst-loss epigraph for h09,restricted_master,unavailable,unavailable,ValueError: Q-F-R invariant failed: worst-loss epigraph for h09,0.0,worst_loss[h09],1224486045.7627006,2.384185791015625e-07,1.9470910258765566e-16,scenario_budget[h01],18146405.511449322,0.0,0.0,Q[Water] lower,1.0,0.0,0.0,"capacity_link[Water,0]",1.0,0.0,0.0,"demand_balance[Water,h01]",350000.0,0.0,0.0,one_reliability_level[Water],1.0,0.0,0.0
