case_id,simulation_id,sample_index,input_sha256,model_kind,algorithm_identity,implementation_revision,status,certificate_status,failure_type,failure_message,data_sha256,scenario_sha256,budget_ratio,budget,beta,lambda_Water,lambda_Vaccine,lambda_Crackers,gamma_D,h_V_tau,a_C,result_sha256,iterations,full_exact_certification_calls,complete_full_exact_certification_calls,first_stage_sha256,policy_label,mixed_aggregate_QF,same_item_QF_coexistence,cross_item_specialization,portfolio_pattern,T_COST,certified_objective,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,exact_worst_case_loss,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_spend,budget_residual,budget_usage,Q_budget_share,F_reservation_budget_share,R_budget_share,emergency_budget_share,Q_Water,F_Water,R_Water,z_R0_Water,z_R1_Water,z_R2_Water,Q_active_Water,F_active_Water,same_item_QF_Water,worst_exercise_Water,worst_shortage_Water,Q_Vaccine,F_Vaccine,R_Vaccine,z_R0_Vaccine,z_R1_Vaccine,z_R2_Vaccine,Q_active_Vaccine,F_active_Vaccine,same_item_QF_Vaccine,worst_exercise_Vaccine,worst_shortage_Vaccine,Q_Crackers,F_Crackers,R_Crackers,z_R0_Crackers,z_R1_Crackers,z_R2_Crackers,Q_active_Crackers,F_active_Crackers,same_item_QF_Crackers,worst_exercise_Crackers,worst_shortage_Crackers,row_sha256,experiment_part,C_Q_Water,C_F_Water,C_R_Water,weighted_shortage_loss_Water,C_Q_Vaccine,C_F_Vaccine,C_R_Vaccine,weighted_shortage_loss_Vaccine,C_Q_Crackers,C_F_Crackers,C_R_Crackers,weighted_shortage_loss_Crackers
E2D_LAMBDA_CRACKERS,LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,16379cbb676037d8328bd562517e1c43e5e1e53ded8ed4d40290cc5a81ef27be,e9923c8deda5bc80d34c2dd7d6f9010a393422b552344b0644dc26ca6f591a9c,1.0,19137905.85543848,4.0,1.0,1.0,1.5,1.0,0.5,0.9,85823f0a06b0f40d89778476e34afc0b2852aea0c1f36d4ba34bbd01dc6e4f77,3,2,2,e41ee828347b4391ce3258ff2b3a2797ac7583337daaa1a62418cd858d356029,P4,False,False,False,Q[NONE]|F[Crackers],1405219999.4777617,1405219999.4777617,0.0,98638.65331107803,0.0,98638.65331107803,h09,5,Katrina,1405121360.8244507,19039267.2021274,1386082093.6223233,1490895197.2837718,391062146.7806146,19137905.85543848,0.0,1.0,0.0,0.005154098575683377,0.0,0.9948459014243166,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,0,1,False,False,False,0.0,9557344.06438629,0.0,507971898.45541835,R0,1,0,0,False,True,False,391062146.7806146,1470937853.2193854,8bd6ddd7150d10b6d18471517e6a49d98c6961e3745db0a450979e211ae95a37,D2,0.0,0.0,0.0,26944320.000000004,0.0,0.0,0.0,531999999.99999845,0.0,98638.65331107803,0.0,827137773.6223247
E2D_LAMBDA_CRACKERS,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,c72a210386cb7d5753a100001d533187c5eb6bd10808b806680901c641791e5d,1ded1b633d42f1ae88a2b71b2f881c5901e506492bdb8af975ef764e80b7fde0,1.0,19137905.85543848,4.0,1.0,1.0,1.5,1.0,0.5,0.9,b3a04bb12952be2c8d584187a5979c1fdf5fc60e408c9fe44a6d8108cbe2c790,3,2,2,40349072705652c5e91da9c125e9d0525f582b94fd55bb5f1dc23b7f99ad59c1,P4,False,False,False,Q[NONE]|F[Crackers],1537531594.7537146,1537531594.7537146,0.0,10083587.872734144,0.0,10083587.872734144,h09,5,Katrina,1527448006.8809805,9054317.982704334,1518393688.898276,1726191105.7984128,155766238.2659737,19137905.85543848,0.0,1.0,0.0,0.5268908703440329,0.0,0.473109129655967,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,277072137.73824096,R0,1,0,0,False,True,False,155766238.2659737,1706233761.7340264,88af43ee96398efd5285e20109df317f5bc682b4ce12686569c1d8af75810cc7,D2,0.0,0.0,0.0,26944320.000000004,0.0,0.0,0.0,531999999.99999845,0.0,10083587.872734144,0.0,959449368.8982776
E2D_LAMBDA_CRACKERS,LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,08488b51ba680aa14c614830b69af6da9bc6ab35fb01c923ddec51ac202b5ded,317e375adf5a11bf0fe3533f3a0b6f7d7c2affc0fe9c859db6cc7aa7e4dce291,1.0,19137905.85543848,4.0,1.0,1.0,1.5,1.0,0.5,0.9,5b8b1e3279d88ee8717f99457688701a41b1bf655c3322f58856e6ed82f810b5,5,2,2,d2cfb86999bbad6d1eb095b0deb19a475f754bcb3ee6df5818a9a5dbcbb24fd5,P1,False,False,False,Q[Crackers]|F[NONE],1548598513.3138695,1548598513.3138695,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1529460607.458431,0.0,1529460607.458431,1745871925.5454516,0.0,19137905.85543848,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,204203007.42038497,0.0,NONE,1,0,0,True,False,False,0.0,1725914581.4810653,ef40d690c869595b9ad49500a4689ee3848e6df446d46b339f154f889943f926,D2,0.0,0.0,0.0,26944320.000000004,0.0,0.0,0.0,531999999.99999845,19137905.85543848,0.0,0.0,970516287.4584326
E2D_LAMBDA_CRACKERS,LA-0004,4,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,11a5545fbec9322b79f5abd5da2cd81a4db85a427418113e020ce8a849c125a5,ada55aa7028a785a0045252d4368255222b8528119142809cb96bfecda114cee,1.0,19137905.85543848,4.0,1.0,1.0,1.5,1.0,0.5,0.9,dfe6d5e6871ca0d20d2877c6c7d87dce52fa9345d3f583392909fe30706b2329,3,2,2,687c12fdbac1842171722ea6d92a3eb9ae11f962045818a77e3cc119682106cb,P4,False,False,False,Q[NONE]|F[Crackers],1540279151.247985,1540279151.247985,0.0,2483165.9390702494,0.0,2483165.9390702494,h09,5,Katrina,1537795985.3089147,16654739.916368227,1521141245.3925464,1731077214.2318141,150880129.8325723,19137905.85543848,0.0,1.0,0.0,0.129751183741172,0.0,0.8702488162588279,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,333528129.9277203,R0,1,0,0,False,True,False,150880129.8325723,1711119870.1674278,7569110506ee92d8c6a201b416dc68b0dd93bc5589a7ae06ae3ba0b7b8f4db38,D2,0.0,0.0,0.0,26944320.000000004,0.0,0.0,0.0,531999999.99999845,0.0,2483165.9390702494,0.0,962196925.3925478
E2D_LAMBDA_CRACKERS,LA-0005,5,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,d0e07337e35a8c061eb2f6cf7a0126ceab421226d227eeb13911684a9d5a603c,0b3b06bb888b501c47d187b866593744e5e2b506461e28b0c686989eb0b18536,1.0,19137905.85543848,4.0,1.0,1.0,1.5,1.0,0.5,0.9,cc7e20e3d7bdbb5b310eb6b75fa02a9e2b9ac65436e79b0f058cd71142d6b0d9,3,2,2,add66ed0aa237b7da5f81da874b623e149ba30d4d0f2e0ef0d157417325671b9,P4,False,False,False,Q[NONE]|F[Crackers],1562480287.9490716,1562480287.9490716,0.0,5090089.392281597,2116145.2403160357,7206234.632597633,h09,5,Katrina,1555274053.316474,11931671.222840846,1543342382.0936332,1770558535.7232902,111398808.34109624,19137905.85543848,0.0,1.0,0.0,0.2659689848372376,0.11057350037672403,0.6234575147860384,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,123387053.62523267,R2,0,0,1,False,True,False,111398808.34109624,1750601191.6589038,b80bea7415d9f1113e5fa1da45d6488662445a21dae074d8d951b5bec34868bb,D2,0.0,0.0,0.0,26944320.000000004,0.0,0.0,0.0,531999999.99999845,0.0,5090089.392281597,2116145.2403160357,984398062.0936347
E2D_LAMBDA_CRACKERS,LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,09f7a7dd13570d1042fbd31acadb72a0e9611f7d1a7870c9bbd7af193ab5f2b2,66fac1fa9b1c2d908709d7da62a70d5011d1a3de860ce746c14097a05dba78c6,1.0,19137905.85543848,4.0,1.0,1.0,1.5,1.0,0.5,0.9,82c8e625d7f176b05a8468f191d1cd5db373a1b0b6b1515b251692cd6278dc56,3,2,2,413787c95c6d989a3059efdf31e909170bea69eda6aaa739979c2dc05400d086,P4,False,False,False,Q[NONE]|F[Crackers],1552975240.3054,1552975240.3054,0.0,5188605.725132991,2400927.3548300243,7589533.079963015,h09,5,Katrina,1545385707.225437,11548372.77547546,1533837334.4499614,1753655264.1987638,128302079.86562264,19137905.855438475,3.725290298461914e-09,0.9999999999999998,0.0,0.2711166918849968,0.12545402683897858,0.6034292812760244,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,138001015.20377848,R2,0,0,1,False,True,False,128302079.86562264,1733697920.1343775,02eed598875b14f18dee14b64e46b3f8c9e9411891c87b83107e61196ed556f7,D2,0.0,0.0,0.0,26944320.000000004,0.0,0.0,0.0,531999999.99999845,0.0,5188605.725132991,2400927.3548300243,974893014.449963
E2D_LAMBDA_CRACKERS,LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,324b8adafb9a47850aad1c447a4a33fad42414d9a626a8d0ed4a5f0635488288,8d986dbb5e7852f166b07023296fe6b051397c80c4cfe6f71f52ab5d149a420f,1.0,19137905.85543848,4.0,1.0,1.0,1.5,1.0,0.5,0.9,2e79b4372fba2ad43f58fe9187cce116a92e06b54b2dc5b555636df51346989f,3,2,2,b3fbceea3b1ae73a61da36ffd1ce0cee7052002cadeeac520c2eca0a2e99ac58,P4,False,False,False,Q[NONE]|F[Crackers],1547111518.0332289,1547111518.0332289,0.0,1537727.6813731613,0.0,1537727.6813731613,h09,5,Katrina,1545573790.3518558,17600178.174065318,1527973612.1777904,1743227532.1739895,138729811.89039683,19137905.85543848,0.0,1.0,0.0,0.08034984041559491,0.0,0.9196501595844051,0.0,0.0,NONE,0,0,1,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,295507077.09389716,R0,1,0,0,False,True,False,138729811.89039683,1723270188.1096032,71022059c89ad39f52afcaa60eb8f1a7bbebe135ec296ff8fa26d8fabbb198bb,D2,0.0,0.0,0.0,26944320.000000004,0.0,0.0,0.0,531999999.99999845,0.0,1537727.6813731613,0.0,969029292.177792
E2D_LAMBDA_CRACKERS,LA-0008,8,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,3ad00e5ac5ef1f53804b9677087fcbab3ee94b418e59c276516dba872c390dc1,d1e8240dca3ebd47a5dac04a043251a71fee898f3c213ace377a680db1ffe87a,1.0,19137905.85543848,4.0,1.0,1.0,1.5,1.0,0.5,0.9,632c905a8cbe08b733d9c8ccc07f4b8ef44b9a2dd568e84a31df4b952523ff34,3,2,2,261c785865c628ff14deb27cafd62dc5b35d02f3bddd881199148bc411a56297,P4,False,False,False,Q[NONE]|F[Crackers],1565305929.8459032,1565305929.8459032,0.0,3618719.9716307796,725381.1804140528,4344101.152044833,h09,5,Katrina,1560961828.6938584,14793804.703393646,1546168023.9904647,1775583507.0862713,106373836.97811514,19137905.85543848,0.0,1.0,0.0,0.1890865175618176,0.037902850285362805,0.7730106321528196,0.0,0.0,NONE,0,0,1,False,False,False,0.0,10400000.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,154216649.4866555,R1,0,1,0,False,True,False,106373836.97811514,1755626163.021885,f4d221fefdc0303c9ef2b451bc5a7de0b9ab59b35bde6820bfc24338a40be9df,D2,0.0,0.0,0.0,26944320.000000004,0.0,0.0,0.0,531999999.99999845,0.0,3618719.9716307796,725381.1804140528,987223703.9904662
E2D_LAMBDA_CRACKERS,LA-0009,9,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,72ed80a968803e00f98b96da2fbf78a1390c5205ff22fac66bb760c9919e6e26,c624a018749efba578bd3b366f1a2c90f1956874c075c25c9f4d318fe98311a5,1.0,19137905.85543848,4.0,1.0,1.0,1.5,1.0,0.5,0.9,ea448395f5f645b55a35adb3a2539398fce07936c92ca7c7b3e39e98f0a1484a,3,2,2,b5e07bd2e9ebc4523b0f70aa7d0c5410bfbe825d1613160d27a59949cc3ff4e3,P1,False,False,False,Q[Crackers]|F[NONE],1564556013.8153245,1564556013.8153245,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1545418107.959886,0.0,1545418107.959886,1774249896.27645,0.0,19137905.85543848,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,204203007.42038497,0.0,NONE,1,0,0,True,False,False,0.0,1754292552.2120636,1ebd2df58333055b01abaab0584568e06ad5421089280375e8ea08c3cd6fc78e,D2,0.0,0.0,0.0,26944320.000000004,0.0,0.0,0.0,531999999.99999845,19137905.85543848,0.0,0.0,986473787.9598875
E2D_LAMBDA_CRACKERS,LA-0010,10,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,02f9d86dd9596080e62a37979b9402e08a5cc45241bc4a12fc7dd9eff0a5b433,2cf6ef34d145697be4961db0aba478947fe26f91acbc974bb5ea676fdea569eb,1.0,19137905.85543848,4.0,1.0,1.0,1.5,1.0,0.5,0.9,c8f05c827c7e144060950308de3b3b0a81d7d83cade5a61dc4c3a812e1cfb88b,3,2,2,c62961cefaf6787c82fdffeeafa73696fdd7ccd49da804514cb45e574c126207,P4,False,False,False,Q[NONE]|F[Crackers],1536209842.8684223,1536209842.8684223,0.0,5384998.5007976815,0.0,5384998.5007976815,h09,5,Katrina,1530824844.3676245,13752907.354640797,1517071937.0129838,1723840572.498348,158116771.56603837,19137905.85543848,0.0,1.0,0.0,0.2813786702408409,0.0,0.7186213297591592,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,201658343.0203944,R0,1,0,0,False,True,False,158116771.56603837,1703883228.4339616,a8543deea1843bb4d37e184bb038368c1d85405b78358a0f0218b713b5d92531,D2,0.0,0.0,0.0,26944320.000000004,0.0,0.0,0.0,531999999.99999845,0.0,5384998.5007976815,0.0,958127617.0129852
