case_id,simulation_id,sample_index,input_sha256,model_kind,algorithm_identity,implementation_revision,status,certificate_status,failure_type,failure_message,data_sha256,scenario_sha256,budget_ratio,budget,beta,lambda_Water,lambda_Vaccine,lambda_Crackers,gamma_D,h_V_tau,a_C,result_sha256,iterations,full_exact_certification_calls,complete_full_exact_certification_calls,first_stage_sha256,policy_label,mixed_aggregate_QF,same_item_QF_coexistence,cross_item_specialization,portfolio_pattern,T_COST,certified_objective,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,exact_worst_case_loss,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_spend,budget_residual,budget_usage,Q_budget_share,F_reservation_budget_share,R_budget_share,emergency_budget_share,Q_Water,F_Water,R_Water,z_R0_Water,z_R1_Water,z_R2_Water,Q_active_Water,F_active_Water,same_item_QF_Water,worst_exercise_Water,worst_shortage_Water,Q_Vaccine,F_Vaccine,R_Vaccine,z_R0_Vaccine,z_R1_Vaccine,z_R2_Vaccine,Q_active_Vaccine,F_active_Vaccine,same_item_QF_Vaccine,worst_exercise_Vaccine,worst_shortage_Vaccine,Q_Crackers,F_Crackers,R_Crackers,z_R0_Crackers,z_R1_Crackers,z_R2_Crackers,Q_active_Crackers,F_active_Crackers,same_item_QF_Crackers,worst_exercise_Crackers,worst_shortage_Crackers,row_sha256,experiment_part,background_simulation_id,background_sample_index,phi,psi,eta_1,eta_2,c_R1_ratio,c_R2_ratio,F_risk,reliability_economics,F_risk_donor_id,reliability_donor_id,shortage_loss_Water,shortage_loss_Vaccine,shortage_loss_Crackers,paid_R_Vaccine,R_level_numeric_Vaccine,F_total,paid_R_any,R1_item_count,R2_item_count
E3B_LOW_FAVORABLE,LA-0914,914,ee8287c989d9f42998cac1b0ade9bc594e098eb99d83ed33e878189f5cc95b45,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,30101ecbb71457304027e327e781dfdb2c2023c306b083af1642e85a8ea1badd,7c4ab3f92b122503d4b45945fba010fd105e2f94992fbbe30531b646b0a2474d,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,1cf3bdcb6fa18e390823c51a284810c38b4b34ae7b65618f0fb32eca0127ed4f,3,2,2,c7c190601d27a28ef12e0fbaa551e1902f8ed5471b4b044242db871b5f93b083,P4,False,False,False,Q[NONE]|F[Water+Crackers],1204597997.444679,1204597997.444679,0.0,5414626.3363216575,0.0,5414626.3363216575,h09,5,Katrina,1199183371.1083574,13723279.51911682,1185460091.5892406,1752675386.0758088,129281957.9885777,19137905.85543848,0.0,1.0,0.0,0.2829267934131344,0.0,0.7170732065868656,0.0,14632783.986706106,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,167266731.8426469,R0,1,0,0,False,True,False,118881957.9885777,1743118042.0114224,a0dd6cbff9dc9bb8bb246906d957e24b0eb7041ae3d63f502a32b612cc82c4dc,E3B,LA-0914,914,0.21525997935034705,0.7676200933649505,0.34422631631643047,0.7129006480634773,0.2315314029247876,0.3106567727591688,Low,Favorable,LA-0975,LA-0755,0.0,531999999.99999845,653460091.589242,False,0,181899515.829353,False,0,0
E3B_LOW_FAVORABLE,LA-0802,802,08d200d068730669000640f9037f4ea66dcff16c72d21874b825ba042565721f,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,2a4fe60e98bf4ae056c0b7382eb27e4517b06bafdda95530bda5ad73613fdce5,e042a398a2d9e50649c9c7c8fb99b1b9df2fbfb32fee3d0594a3c87e73b6ed99,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,122b36658646c4cb9483b08e86fb2b6553ce21a93f52984469601e8728a12831,3,2,2,adf6b9526ded051c3c1216d07f168a6b53c8b2a37613bce482aff9e3c92176ad,P4,False,False,False,Q[NONE]|F[Water+Crackers],1230888281.7092593,1230888281.7092593,0.0,5758902.288287725,0.0,5758902.288287725,h09,5,Katrina,1225129379.4209716,13379003.567150753,1211750375.8538208,1822805252.3385603,59152091.72582604,19137905.85543848,0.0,1.0,0.0,0.3009160109673755,0.0,0.6990839890326245,0.0,14632783.986706106,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,68594117.9927014,R0,1,0,0,False,True,False,48752091.72582604,1813247908.274174,154be451422724cd160549d530c00c810289f1d9a78e1ca1d5e1c670403d3f68,E3B,LA-0802,802,0.3620517735218046,1.1834457682207538,0.34422631631643047,0.7129006480634773,0.2315314029247876,0.3106567727591688,Low,Favorable,LA-0975,LA-0755,0.0,531999999.99999845,679750375.8538224,False,0,83226901.9794075,False,0,0
E3B_LOW_FAVORABLE,LA-0642,642,df36bdc338b56dbdb6049ba0f8338289089a63b99a8d10e273f60fe82107fd03,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,962030e3bb6c0af2217b176db43b2f197363ae73225675292caec77d18484a9b,26faaaac590fc62cac229d4b262ddd1fea8d366934f57e0f82df3c9f6f9ea259,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,33edf383361d851e4071bd97bec1756e559f13424673b0a04dc42746197cf384,6,2,2,61f5d2f53183ae55c8d961d64da806c1a4297236990ede3921277f09730edd07,P1,False,False,False,Q[Water+Vaccine]|F[NONE],1221165897.9019191,1221165897.9019191,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1202027992.0464807,0.0,1202027992.0464807,1871054351.6823528,0.0,19137905.85543848,0.0,1.0,1.0,0.0,0.0,0.0,14229721.617536936,0.0,NONE,1,0,0,True,False,False,0.0,0.0,688215.5357769008,0.0,NONE,0,0,1,True,False,False,0.0,9054351.6823527,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,4223a29f11c6e22d18ade7375f30591d082358ec5615249ac14efc195473702a,E3B,LA-0642,642,0.27297467507658774,1.4901263843897259,0.34422631631643047,0.7129006480634773,0.2315314029247876,0.3106567727591688,Low,Favorable,LA-0975,LA-0755,0.0,504001432.04648066,698026560.0,False,0,0.0,False,0,0
E3B_LOW_FAVORABLE,LA-0765,765,029044c21e5aaa3ef1fdc23ba9f93ecbcab421d4ba2aea33a2a93e86bd5dc97c,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,eab3bf34b8f6e40f674c72dfbd6f9f8bbdf105194eb2df76bdb9afac3a4087b6,ab1586d9bad81febfaea205b44eb76f40ca1e1b45325b4681fc6596d17bb94e9,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,2ec311bb343608199f48a7eab6d2ef0acbfc19df600646a7345608c143cf4270,3,2,2,c5c8ea16023c5c4510c22f69816cc6f36d40acf4183f795933850b79c3fb9284,P4,False,False,False,Q[NONE]|F[Crackers],1224813789.0359783,1224813789.0359783,0.0,233340.61870715834,0.0,233340.61870715834,h09,5,Katrina,1224580448.4172711,18904565.23673132,1205675883.1805398,1745126900.1371064,136830443.9272799,19137905.85543848,0.0,1.0,0.0,0.012192588910706195,0.0,0.9878074110892938,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,192520223.9224028,R0,1,0,0,False,True,False,136830443.9272799,1725169556.07272,a64e8738e95f0d73f4c378b5d3da6794fc79c526778bf496dd4ab27ef9a0e921,E3B,LA-0765,765,0.01293247677090883,1.4741839484477675,0.34422631631643047,0.7129006480634773,0.2315314029247876,0.3106567727591688,Low,Favorable,LA-0975,LA-0755,26944320.000000004,531999999.99999845,646731563.1805413,False,0,192520223.9224028,False,0,0
E3B_LOW_FAVORABLE,LA-0334,334,edaf1d3f884b2a1b1bc5dfef3d1a8ae510e3ba39112540125e89d3ae561834b0,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,9782e0d96946c0720905ea8df4523732aa4c9c66eeff85dea1e721894b0da13e,02f47ef15a1014c3ebdea89d99a84de0f488e5f870d672a03a1ec96c0c4d1768,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,8db44cfdd852dddd9a2e249abd5a873f402092c0d8a06ef890dbe5668facc380,3,2,2,d65feecabaa9b507ef8a014bd3a817c28e1f1072e1297da7ebd176f0c09abbc4,P4,False,False,False,Q[NONE]|F[Crackers],1224526574.2936554,1224526574.2936554,0.0,541328.4823721176,0.0,541328.4823721176,h09,5,Katrina,1223985245.8112833,18596577.37306636,1205388668.438217,1744360748.9892113,137596595.07517502,19137905.855438475,3.725290298461914e-09,0.9999999999999998,0.0,0.028285669626611033,0.0,0.9717143303733888,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,0,1,False,False,False,0.0,9557344.06438629,0.0,193598197.4078178,R0,1,0,0,False,True,False,137596595.07517502,1724403404.924825,11a320a12d134aa77d4e51e036dece2e3643d7f3059f6834e2a5a0dbd0abc088,E3B,LA-0334,334,0.02983508566707432,1.4420922880200795,0.34422631631643047,0.7129006480634773,0.2315314029247876,0.3106567727591688,Low,Favorable,LA-0975,LA-0755,26944320.000000004,531999999.99999845,646444348.4382184,False,0,193598197.4078178,False,0,0
E3B_LOW_FAVORABLE,LA-0396,396,4a8ce3956cb01a1d091e6fc01863a6d00473bea19495791f759d72580abea560,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,004bd737eb383b653356ecc711bdbad8bfbb6672a03ad3d080e6b40a7c0110ea,d143ca4642b130220c0f37a0e72651b657ec0809483b72c0b97d68bf402fcdcf,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,99bd318ad8ebe870d4bba1f4ea99c6891224f5ba7da74c5fa231bb4eeee7d98a,3,2,2,708d4b1fa7bc50d3cd806d7ad7563f630ef23d3e15f018099b9e018af01c9710,P4,False,False,False,Q[NONE]|F[Water+Crackers],1199247702.0089693,1199247702.0089693,0.0,5277511.56424482,0.0,5277511.56424482,h09,5,Katrina,1193970190.4447246,13860394.291193657,1180109796.1535308,1738403364.5336895,143553979.53069693,19137905.85543848,0.0,1.0,0.0,0.275762228328921,0.0,0.724237771671079,0.0,14632783.986706106,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,0,1,False,False,False,0.0,9557344.06438629,0.0,187347444.1772091,R0,1,0,0,False,True,False,133153979.53069693,1728846020.4693031,b6f5cf5b42eb3c90e07057a4e60b04ac35e21068e61e18799672270593d65d2f,E3B,LA-0396,396,0.19520415540375965,0.721321823609993,0.34422631631643047,0.7129006480634773,0.2315314029247876,0.3106567727591688,Low,Favorable,LA-0975,LA-0755,0.0,531999999.99999845,648109796.1535324,False,0,201980228.16391522,False,0,0
E3B_LOW_FAVORABLE,LA-0358,358,65f12d3443be917eb572e0eca29833f1866f1a45141d44db32bfff161cc2c593,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,15ed257cdb74f6790fa6709e395ebf5c90bc81f337b40c5daa10ae6bc251ef11,3f21c2874e9996ce79be12a12f6c5f65c46bb468f546837aa983d9f7c6b45958,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,fff54f0fa16c8274ae7f7fdaceb84856e5c0cf2e3d0b0fdc7c3ea78cdb69a0b1,3,2,2,6504d31cd82d586f2c02e99e71b65447faa302e1aebd518c69168d69870fc351,P4,False,False,False,Q[NONE]|F[Crackers],1158843661.7505004,1158843661.7505004,0.0,1444482.8317470897,0.0,1444482.8317470897,h09,5,Katrina,1157399178.9187534,17693423.023691386,1139705755.895062,1569150248.1805394,312807095.88384694,19137905.855438475,3.725290298461914e-09,0.9999999999999998,0.0,0.07547758060146412,0.0,0.9245224193985357,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,0,1,False,False,False,0.0,9557344.06438629,0.0,440119102.2670382,R0,1,0,0,False,True,False,312807095.88384694,1549192904.116153,9709360b17012cc3f781a50752b30a824da70cb995363b7474c226809d493d47,E3B,LA-0358,358,0.03501949556891065,0.6035357284185586,0.34422631631643047,0.7129006480634773,0.2315314029247876,0.3106567727591688,Low,Favorable,LA-0975,LA-0755,26944320.000000004,531999999.99999845,580761435.8950634,False,0,440119102.2670382,False,0,0
E3B_LOW_FAVORABLE,LA-0467,467,10bba651114fcf8a3e1f592ebce456644653baea223751f04413e110919e8399,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,8e3de467b5883e7bddb139706249de69c893cf2e09f70e3c5886e99435d6ace4,6c72ae0981bf1068d0ff88e2c87468b16f4f75721b573270ba4876e901a15525,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,4300868600f5f389290f0bbe6be8d0039c22c4a027167a2383fe3ae653d9f8b6,3,2,2,6921d9cb81d4857a5cad14fadd6573c8c183807b5b1dce8a97df1da64bbc40e4,P4,False,False,False,Q[NONE]|F[Crackers],1212826733.7346513,1212826733.7346513,0.0,10698428.830885107,0.0,10698428.830885107,h09,5,Katrina,1202128304.9037662,8439477.024553372,1193688827.8792129,1713151187.1053977,168806156.95898858,19137905.85543848,0.0,1.0,0.0,0.5590177374524444,0.0,0.44098226254755557,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,237510002.92373902,R0,1,0,0,False,True,False,168806156.95898858,1693193843.0410113,16c1f9a6b9885d858c1f747a7c59622fb3ef9196797444b544b9656c15d0983e,E3B,LA-0467,467,0.4806244022732012,0.5334515390521819,0.34422631631643047,0.7129006480634773,0.2315314029247876,0.3106567727591688,Low,Favorable,LA-0975,LA-0755,26944320.000000004,531999999.99999845,634744507.8792143,False,0,237510002.92373902,False,0,0
E3B_LOW_FAVORABLE,LA-0021,21,9c0c8e916a30a3fa9f17a2b27ecaaa74ee626fafee16b17aef6e1fa739cc5936,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,1642b1ca07f22895b39b297c0541026963f28f6dfa359f69c2b92dc650fb7b10,103367e087e14addfbbe526eff4c7a3775729b287ef2ac3e6aee43259946008d,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,5a39d89867e36af05611ba5192ad5e8ded9220a0cd1f920c179ca590dee9539f,3,2,2,4f93aecf0a02561f483ef58147eaf8f716aed27ae937ac6276bfc27a9076a82c,P4,False,False,False,Q[NONE]|F[Water+Crackers],1229241166.7502184,1229241166.7502184,0.0,2834347.7455680454,0.0,2834347.7455680454,h09,5,Katrina,1226406819.0046504,16303558.109870434,1210103260.89478,1818411539.7931035,63545804.27128286,19137905.85543848,0.0,1.0,0.0,0.14810124822317486,0.0,0.8518987517768252,0.0,14632783.986706106,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,74776064.77898508,R0,1,0,0,False,True,False,53145804.27128286,1808854195.728717,b2994f55925f6316df560bb34718dbfd369ab31598f09a364a92e7071a795a4a,E3B,LA-0021,21,0.17192799958479546,1.3914560561114655,0.34422631631643047,0.7129006480634773,0.2315314029247876,0.3106567727591688,Low,Favorable,LA-0975,LA-0755,0.0,531999999.99999845,678103260.8947815,False,0,89408848.76569119,False,0,0
E3B_LOW_FAVORABLE,LA-0148,148,7151e912cd4a11e3ecf51701a50a70afb496f08ac17c31ec24434fead2eac7fd,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,8f9f8f78d9de27f33fed68a93d2e92e8de5886ec91eea695eebe4401f496fc1b,2d65fabea66404b31e2f20cf1958d5f4db20fc3d049051d9f30b4779ae0e9632,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,7fb9ebc19db07f8fcd1d656ec89b8960f6e44e30ac951a8c2b615c97301405d2,3,2,2,54055111531e64d6f3b65e219aadaeefa80ea6578a449477c146d963cbccc3f4,P2,True,False,True,Q[Water]|F[Crackers],1237696231.8679645,1237696231.8679645,13348245.843086302,1996308.597890294,0.0,15344554.440976596,h09,5,Katrina,1222351677.426988,3793351.4144618823,1218558326.012526,1840965597.4055293,30591746.658857107,19137905.85543848,0.0,1.0,0.6974768265616214,0.10431175766929571,0.0,0.1982114157690829,20608685.87785441,0.0,NONE,1,0,0,True,False,False,0.0,0.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,43042540.445682146,R0,1,0,0,False,True,False,30591746.658857107,1831408253.341143,a1f9f56089a1c55e2d7e977bd0a5602899b17682b0ce751ab3a2efc1bb707de6,E3B,LA-0148,148,0.4948772633961339,1.3230812760205821,0.34422631631643047,0.7129006480634773,0.2315314029247876,0.3106567727591688,Low,Favorable,LA-0975,LA-0755,0.0,531999999.99999845,686558326.0125276,False,0,43042540.445682146,False,0,0
