case_id,simulation_id,sample_index,input_sha256,model_kind,algorithm_identity,implementation_revision,status,certificate_status,failure_type,failure_message,data_sha256,scenario_sha256,budget_ratio,budget,beta,lambda_Water,lambda_Vaccine,lambda_Crackers,gamma_D,h_V_tau,a_C,result_sha256,iterations,full_exact_certification_calls,complete_full_exact_certification_calls,first_stage_sha256,policy_label,mixed_aggregate_QF,same_item_QF_coexistence,cross_item_specialization,portfolio_pattern,T_COST,certified_objective,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,exact_worst_case_loss,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_spend,budget_residual,budget_usage,Q_budget_share,F_reservation_budget_share,R_budget_share,emergency_budget_share,Q_Water,F_Water,R_Water,z_R0_Water,z_R1_Water,z_R2_Water,Q_active_Water,F_active_Water,same_item_QF_Water,worst_exercise_Water,worst_shortage_Water,Q_Vaccine,F_Vaccine,R_Vaccine,z_R0_Vaccine,z_R1_Vaccine,z_R2_Vaccine,Q_active_Vaccine,F_active_Vaccine,same_item_QF_Vaccine,worst_exercise_Vaccine,worst_shortage_Vaccine,Q_Crackers,F_Crackers,R_Crackers,z_R0_Crackers,z_R1_Crackers,z_R2_Crackers,Q_active_Crackers,F_active_Crackers,same_item_QF_Crackers,worst_exercise_Crackers,worst_shortage_Crackers,row_sha256,experiment_part,C_Q_Water,C_F_Water,C_R_Water,weighted_shortage_loss_Water,C_Q_Vaccine,C_F_Vaccine,C_R_Vaccine,weighted_shortage_loss_Vaccine,C_Q_Crackers,C_F_Crackers,C_R_Crackers,weighted_shortage_loss_Crackers
E2D_BETA6,LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,bfa85c639e206844d53429ee64fd8e4c630ad46362f5c902f5b78f32536f7644,e9923c8deda5bc80d34c2dd7d6f9010a393422b552344b0644dc26ca6f591a9c,1.0,19137905.85543848,6.0,1.0,1.0,1.0,1.0,0.5,0.9,c1ea2f12e650448e8a46cc1c6a4ebecfdb3185953934a8913a995507bb37df84,3,2,2,2caf9a217121dc9605237790b220a8779555a32ed4f07b4865617ccf7c3952d6,P4,False,False,False,Q[NONE]|F[Water+Crackers],1684692159.477761,1684692159.477761,0.0,98638.65331107803,0.0,98638.65331107803,h09,5,Katrina,1684593520.82445,19039267.2021274,1665554253.6223226,1552369717.1301227,329587626.9342638,19137905.85543848,0.0,1.0,0.0,0.005154098575683377,0.0,0.9948459014243166,0.0,13509125.819073599,R0,1,0,0,False,True,False,10399999.999999993,9.313225746154785e-09,0.0,0.0,NONE,0,0,1,False,False,False,0.0,9557344.06438629,0.0,414610174.2448553,R0,1,0,0,False,True,False,319187626.9342638,1542812373.0657363,6606de2727ced09a508d6f9a9134da07eaea261f4816c82b59e4fd0e08877316,D1,0.0,18129.102761259215,0.0,3.6193057894706734e-08,0.0,0.0,0.0,797999999.9999977,0.0,80509.55054981881,0.0,867554253.6223247
E2D_BETA6,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,6ca7befb69a436377c385a5776231fa0eed3c25af6923a7974d1fb20a880eb59,1ded1b633d42f1ae88a2b71b2f881c5901e506492bdb8af975ef764e80b7fde0,1.0,19137905.85543848,6.0,1.0,1.0,1.0,1.0,0.5,0.9,1d8a3302bbc706997728d04debbc963f7ce39a88ef844f21e72918d4c943b36d,3,2,2,7990f9311f027ecf47c43e76ba49bb3d9cb8b7f60d7ecb926d2d4e174acaf573,P4,False,False,False,Q[NONE]|F[Crackers],1817003754.7537138,1817003754.7537138,0.0,10083587.872734144,0.0,10083587.872734144,h09,5,Katrina,1806920166.8809798,9054317.982704334,1797865848.8982754,1726191105.7984128,155766238.2659737,19137905.85543848,0.0,1.0,0.0,0.5268908703440329,0.0,0.473109129655967,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,277072137.73824096,R0,1,0,0,False,True,False,155766238.2659737,1706233761.7340264,8512a541d157dec3b6c9056a3dd75452673f3572b081c0d50ecb826adeb57b98,D1,0.0,0.0,0.0,40416480.00000001,0.0,0.0,0.0,797999999.9999977,0.0,10083587.872734144,0.0,959449368.8982776
E2D_BETA6,LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,cf95208c0953f22731ee76524dc6ba25d8befbba69d83e39d8180003cce6bf70,317e375adf5a11bf0fe3533f3a0b6f7d7c2affc0fe9c859db6cc7aa7e4dce291,1.0,19137905.85543848,6.0,1.0,1.0,1.0,1.0,0.5,0.9,6861b50b85f718b4e5ec3bd1b8027f9e7b977aa61459fdd938d9ad70a937bb26,7,2,2,9d5e6947f07c6f337d86dd261fedf5c63a0d247a1d113baa9bb8faf5406956cc,P1,False,False,False,Q[Water+Vaccine]|F[NONE],1821115284.773887,1821115284.773887,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1801977378.9184484,0.0,1801977378.9184484,1871041601.2613592,0.0,19137905.85543848,0.0,1.0,1.0,0.0,0.0,0.0,14045150.246489204,0.0,NONE,1,0,0,True,False,False,0.0,0.0,696508.1881789276,0.0,NONE,1,0,0,True,False,False,0.0,9041601.261359207,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,ec63613ce796ec870a88150ac5abc052a8b85ea43f9848fe99ea31fe11b28c03,D1,9097043.814651059,0.0,0.0,0.0,10040862.040787421,0.0,0.0,754937538.9184484,0.0,0.0,0.0,1047039839.9999999
E2D_BETA6,LA-0004,4,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,71773502ccfd8a4efb8e7f13431fc9b1d4ed0c9a32f00890bbd2c8a5e6608556,ada55aa7028a785a0045252d4368255222b8528119142809cb96bfecda114cee,1.0,19137905.85543848,6.0,1.0,1.0,1.0,1.0,0.5,0.9,550af608a692b7c5d3ebc60a9dadaf995fa848ba2aead84ea122ca92e28d85d5,3,2,2,4a1f5045aad31200e5f0bd0071fa269d2407952be328411819951a1b7ad41f32,P4,False,False,False,Q[NONE]|F[Water+Crackers],1819751311.247984,1819751311.247984,0.0,2483165.939070249,0.0,2483165.939070249,h09,5,Katrina,1817268145.3089137,16654739.916368231,1800613405.3925455,1792551734.0781648,89405609.98622149,19137905.85543848,0.0,1.0,0.0,0.12975118374117198,0.0,0.8702488162588281,0.0,22989724.0617264,R0,1,0,0,False,True,False,10399999.999999998,1.862645149230957e-09,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,174645882.0107315,R0,1,0,0,False,True,False,79005609.98622149,1782994390.0137784,18864d021d27c6e4d24e5fc24db4566e87ccc0e689f6843bf6aa89bfc11a1c24,D1,0.0,1182901.6833928863,0.0,7.238611578941346e-09,0.0,0.0,0.0,797999999.9999977,0.0,1300264.255677363,0.0,1002613405.3925477
E2D_BETA6,LA-0005,5,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,6c372f5bea3c1293244759c0ca1479cec4dabe564bb2db0c87db0a8f8d0a9019,0b3b06bb888b501c47d187b866593744e5e2b506461e28b0c686989eb0b18536,1.0,19137905.85543848,6.0,1.0,1.0,1.0,1.0,0.5,0.9,51f4b21a55f7ad736731cf72efdbf2415132d4a2bf06ca930f303ef1efcea24b,3,2,2,409e7c194671dd14e2cee3075116722e5b076f12d2a9b78b8002381023120366,P1,False,False,False,Q[Water+Vaccine]|F[NONE],1837833608.0466897,1837833608.0466897,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1818695702.1912513,0.0,1818695702.1912513,1871241830.293562,0.0,19137905.85543848,0.0,1.0,1.0,0.0,0.0,0.0,17637799.914796602,0.0,NONE,1,0,0,True,False,False,0.0,0.0,535093.150015588,0.0,NONE,1,0,0,True,False,False,0.0,9241830.293561982,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,9105da417612c9f1c80f790d662fce1ef72043622ba9541706d0b7ffd1bb9811,D1,11424003.00481376,0.0,0.0,0.0,7713902.850624718,0.0,0.0,771655862.1912513,0.0,0.0,0.0,1047039839.9999999
E2D_BETA6,LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,8854ad8cc607436a86f0d141ce7a7ca7ca16aeaf49599efcb662a8d5c749ef55,66fac1fa9b1c2d908709d7da62a70d5011d1a3de860ce746c14097a05dba78c6,1.0,19137905.85543848,6.0,1.0,1.0,1.0,1.0,0.5,0.9,4732687ea59f5631284fff32a1f2073e05e83a82280aa97b4a1945a1b325c4b5,3,2,2,3b882e615936d1ce45382f4eeb366f8bbb7c7a922f1345d97a4e710a3b71c1a1,P4,False,False,False,Q[NONE]|F[Vaccine],1832447400.3053992,1832447400.3053992,0.0,5188605.725132992,2400927.3548300243,7589533.079963015,h09,5,Katrina,1824857867.2254362,11548372.775475461,1813309494.4499607,1881093268.8326383,864075.2317480709,19137905.85543848,0.0,1.0,0.0,0.2711166918849969,0.12545402683897858,0.6034292812760245,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,929394.5921887122,R2,0,0,1,False,True,False,864075.2317480709,8693268.832638219,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,361c1ef2b1b00dee589f7573b6e74ce0c58ff9ac64920248824cf4ed2d131328,D1,0.0,0.0,0.0,40416480.00000001,0.0,5188605.725132992,2400927.3548300243,725853174.4499608,0.0,0.0,0.0,1047039839.9999999
E2D_BETA6,LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,d1d05133fc322033abf19c563c12affd747c5561f119e4e7ae16549b8e52600b,8d986dbb5e7852f166b07023296fe6b051397c80c4cfe6f71f52ab5d149a420f,1.0,19137905.85543848,6.0,1.0,1.0,1.0,1.0,0.5,0.9,0b7a10bbf30dd024eece9c9c45b3a6879384523c1dfc96d66b2c4f02e62085f8,3,2,2,bb21f92bd1093e2ff43ac7d3afede906fce8d55a9dfd74e8e2f011b573bf8307,P4,False,False,False,Q[NONE]|F[Crackers],1826583678.0332282,1826583678.0332282,0.0,1537727.6813731613,0.0,1537727.6813731613,h09,5,Katrina,1825045950.351855,17600178.174065318,1807445772.1777897,1743227532.1739895,138729811.89039683,19137905.85543848,0.0,1.0,0.0,0.08034984041559491,0.0,0.9196501595844051,0.0,0.0,NONE,0,0,1,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,295507077.09389716,R0,1,0,0,False,True,False,138729811.89039683,1723270188.1096032,77da1692bf12f98a9d8a9dfb29c8757c33d147a62f6e0b4ef4b36f24a0a69119,D1,0.0,0.0,0.0,40416480.00000001,0.0,0.0,0.0,797999999.9999977,0.0,1537727.6813731613,0.0,969029292.177792
E2D_BETA6,LA-0008,8,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,0ce33b03f4e7c809098fed767b6a46442862635c80e8f1df4f0c946eb0c00c57,d1e8240dca3ebd47a5dac04a043251a71fee898f3c213ace377a680db1ffe87a,1.0,19137905.85543848,6.0,1.0,1.0,1.0,1.0,0.5,0.9,56e1ef2a1e0fa362bb1e62ad6ba9ded5194ea1bf78a13c8c79824ece2a15ba02,3,2,2,20b97e25c363c13539179eedc2042b708254980c906d64fe168d4c93fd0bb3d3,P1,False,False,False,Q[Water+Vaccine]|F[NONE],1841802571.929097,1841802571.929097,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1822664666.0736585,0.0,1822664666.0736585,1871289365.0722628,0.0,19137905.85543848,0.0,1.0,1.0,0.0,0.0,0.0,18778115.09301475,0.0,NONE,0,0,1,True,False,False,0.0,0.0,483859.6496734755,0.0,NONE,1,0,0,True,False,False,0.0,9289365.072262844,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,a6e0eddff1658eea061c0bcd17f14907f191ed320821fa5ca282c4b11c7a9500,D1,12162585.145745656,0.0,0.0,0.0,6975320.709692823,0.0,0.0,775624826.0736585,0.0,0.0,0.0,1047039839.9999999
E2D_BETA6,LA-0009,9,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,8320c036e1c10b0eee8df8e50ed20d8d1a65adf7ecc1f210087359eaa9ab1ccd,c624a018749efba578bd3b366f1a2c90f1956874c075c25c9f4d318fe98311a5,1.0,19137905.85543848,6.0,1.0,1.0,1.0,1.0,0.5,0.9,25c6709f3ce4d0a781d9526219194a59554e81c08d34af9c9e9a63556af7fb83,3,2,2,5865eced6a36c2844db7768bbe8a9cbda9fc61b23b4a6a0aa2669a1dac39a9f1,P1,False,False,False,Q[Water+Vaccine]|F[NONE],1838230879.8671665,1838230879.8671665,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1819092974.011728,0.0,1819092974.011728,1871246588.2678418,0.0,19137905.85543848,0.0,1.0,1.0,0.0,0.0,0.0,17745663.72808323,0.0,NONE,1,0,0,True,False,False,0.0,0.0,530246.9102912714,0.0,NONE,0,1,0,True,False,False,0.0,9246588.26784191,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,b4a0affcf17118b15d8955ea31c9cb58fc07469b1e28dfe7bfc0d3f693ecc9d9,D1,11493866.39667951,0.0,0.0,0.0,7644039.458758969,0.0,0.0,772053134.0117282,0.0,0.0,0.0,1047039839.9999999
E2D_BETA6,LA-0010,10,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,71e2b9664b49eb40d7e507788fda3a3e86c5f1545c648ebc6aa805b5c2bbfdf7,2cf6ef34d145697be4961db0aba478947fe26f91acbc974bb5ea676fdea569eb,1.0,19137905.85543848,6.0,1.0,1.0,1.0,1.0,0.5,0.9,743a2115cf584a483f8c3a4f644fb312ec3e22be2dbc72ce239fde098605802b,3,2,2,f19ffde463328c9f3b6ba7096e91f39d5056539219abb4628e98d94c09feed6d,P4,False,False,False,Q[NONE]|F[Crackers],1815682002.8684216,1815682002.8684216,0.0,5384998.5007976815,0.0,5384998.5007976815,h09,5,Katrina,1810297004.3676238,13752907.354640797,1796544097.012983,1723840572.498348,158116771.56603837,19137905.85543848,0.0,1.0,0.0,0.2813786702408409,0.0,0.7186213297591592,0.0,0.0,NONE,0,0,1,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,0,1,False,False,False,0.0,9557344.06438629,0.0,201658343.0203944,R0,1,0,0,False,True,False,158116771.56603837,1703883228.4339616,fe73bcdb1807c485f32a08fe37c74937024936c8ac55d32393740577e726e662,D1,0.0,0.0,0.0,40416480.00000001,0.0,0.0,0.0,797999999.9999977,0.0,5384998.5007976815,0.0,958127617.0129852
