case_id,simulation_id,sample_index,input_sha256,model_kind,algorithm_identity,implementation_revision,status,certificate_status,failure_type,failure_message,data_sha256,scenario_sha256,budget_ratio,budget,beta,lambda_Water,lambda_Vaccine,lambda_Crackers,gamma_D,h_V_tau,a_C,result_sha256,iterations,full_exact_certification_calls,complete_full_exact_certification_calls,first_stage_sha256,policy_label,mixed_aggregate_QF,same_item_QF_coexistence,cross_item_specialization,portfolio_pattern,T_COST,certified_objective,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,exact_worst_case_loss,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_spend,budget_residual,budget_usage,Q_budget_share,F_reservation_budget_share,R_budget_share,emergency_budget_share,Q_Water,F_Water,R_Water,z_R0_Water,z_R1_Water,z_R2_Water,Q_active_Water,F_active_Water,same_item_QF_Water,worst_exercise_Water,worst_shortage_Water,Q_Vaccine,F_Vaccine,R_Vaccine,z_R0_Vaccine,z_R1_Vaccine,z_R2_Vaccine,Q_active_Vaccine,F_active_Vaccine,same_item_QF_Vaccine,worst_exercise_Vaccine,worst_shortage_Vaccine,Q_Crackers,F_Crackers,R_Crackers,z_R0_Crackers,z_R1_Crackers,z_R2_Crackers,Q_active_Crackers,F_active_Crackers,same_item_QF_Crackers,worst_exercise_Crackers,worst_shortage_Crackers,row_sha256,experiment_part,background_simulation_id,background_sample_index,phi,psi,eta_1,eta_2,c_R1_ratio,c_R2_ratio,F_risk,reliability_economics,F_risk_donor_id,reliability_donor_id,shortage_loss_Water,shortage_loss_Vaccine,shortage_loss_Crackers,paid_R_Vaccine,R_level_numeric_Vaccine,F_total,paid_R_any,R1_item_count,R2_item_count
E3B_MEDIUM_REFERENCE,LA-0914,914,ee8287c989d9f42998cac1b0ade9bc594e098eb99d83ed33e878189f5cc95b45,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,44c65f4a022b60caac173caae3cf0ae3f506b6d16141635fd7d4912f434775c8,89cce3433e010fd64a68b5c99f8a18aba96e1a6b937a4b71314343a49fe7d381,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,9ad431b923ab560e2c785ad036ffcbbe136b0b90a173963a0b06a08c3ef18cc2,3,2,2,594a9ef3d36fee00092cb0176aff0d521dfe7dfbfff35dae520c9c88db230905,P4,False,False,False,Q[NONE]|F[Water+Crackers],1208865847.0229347,1208865847.0229347,0.0,6233648.109253715,0.0,6233648.109253715,h09,5,Katrina,1202632198.913681,12904257.746184763,1189727941.1674962,1764059961.348578,117897382.71580848,19137905.85543848,0.0,1.0,0.0,0.32572258199725024,0.0,0.6742774180027498,0.0,17915363.859447412,R0,1,0,0,False,True,False,10399999.999999996,3.725290298461914e-09,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,185178338.9703829,R0,1,0,0,False,True,False,107497382.71580848,1754502617.2841916,83bbd746bb14f3cb7885075a244477d74ac2cef68e57fed37bda4a481f0f4bc3,E3B,LA-0914,914,0.21525997935034705,0.7676200933649505,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,Medium,Reference,LA-0169,LA-0427,9.651482105255128e-09,531999999.99999845,657727941.1674978,False,0,203093702.82983032,False,0,0
E3B_MEDIUM_REFERENCE,LA-0802,802,08d200d068730669000640f9037f4ea66dcff16c72d21874b825ba042565721f,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,78d7097eb47a819928db287eabd3b01c5f0b66caa580932e8265d9f515b874f8,fdf9a11d5afd911c968e7e0fa858d3d6653be1d2412613ad63852323bb98921b,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,b1b984b16a4216601086b65c7b3f79900831065d8781dcf7406f0be19f76a2af,3,2,2,40ff4e6f595c5bcfffd0912f6b56b5e59317572030ec5fb9a39b6d0e959e943a,P4,False,False,False,Q[NONE]|F[Water+Vaccine],1233747842.0457833,1233747842.0457833,0.0,6604935.933095517,0.0,6604935.933095517,h09,5,Katrina,1227142906.1126878,12532969.92234296,1214609936.1903448,1880900021.0022914,1057323.0620949524,19137905.85543848,0.0,1.0,0.0,0.34512323255151617,0.0,0.6548767674484838,0.0,535352.7500877406,R0,1,0,0,False,True,False,310776.19436551223,10089223.805634487,0.0,1286024.8820676615,R0,1,0,0,False,True,False,746546.8677294402,8810797.19665685,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,2986543d91fd653d6b8e6b8cad072a59656843a9b8c67b7d40470dca0bbd7daa,E3B,LA-0802,802,0.3620517735218046,1.1834457682207538,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,Medium,Reference,LA-0169,LA-0427,26139161.035637833,490444215.1547069,698026560.0,False,0,1821377.632155402,False,0,0
E3B_MEDIUM_REFERENCE,LA-0642,642,df36bdc338b56dbdb6049ba0f8338289089a63b99a8d10e273f60fe82107fd03,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,117eaf26663fe346f1e3707444d4ca310623f208ca984eae6a2c1ad0fe4eb045,ed2a82100cb43b977cb028ff0905fc2f5e0297e3ae9b0e5374e2448e565800d2,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,da5578e470dd59b852e9cb0af55dc0ea3443eacdd3a786433950b2bd24743cb5,6,2,2,b3ee993f6c97ad88d14697b5ba4b5d34711dabd425fccfc7a4524fb02ab66452,P1,False,False,False,Q[Water+Vaccine]|F[NONE],1221165897.9019191,1221165897.9019191,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1202027992.0464807,0.0,1202027992.0464807,1871054351.6823528,0.0,19137905.85543848,0.0,1.0,1.0,0.0,0.0,0.0,14229721.617536936,0.0,NONE,0,1,0,True,False,False,0.0,0.0,688215.5357769008,0.0,NONE,0,1,0,True,False,False,0.0,9054351.6823527,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,46c24a76cb3c2f30b588199fb2d0216a903bb020cbf4dac4e6def45516c4ecef,E3B,LA-0642,642,0.27297467507658774,1.4901263843897259,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,Medium,Reference,LA-0169,LA-0427,0.0,504001432.04648066,698026560.0,False,0,0.0,False,0,0
E3B_MEDIUM_REFERENCE,LA-0765,765,029044c21e5aaa3ef1fdc23ba9f93ecbcab421d4ba2aea33a2a93e86bd5dc97c,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,e82fdb83f2af5a26dfbcc1807084871d8edbfae5a41d9d726b8f61cb733e1bfd,d8e44ec090627d0d4103897a91001c3f6b0ab4689b37b880d80d0dbc884aba50,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,248d171e4fc8a779190238f51af9a7e1e5e42817caeb3ca3c62b061b02832016,3,2,2,263d4618307399fb38c9eef432d41eb4e698ed42abaebb5ef2c752effc7fe3ea,P4,False,False,False,Q[NONE]|F[Water+Vaccine],1224953706.8565462,1224953706.8565462,0.0,284906.77000293124,0.0,284906.77000293124,h09,5,Katrina,1224668800.0865433,18852999.085435547,1205815801.0011077,1880742034.9576442,1215309.106742067,19137905.85543848,0.0,1.0,0.0,0.014887040000877023,0.0,0.985112959999123,0.0,535352.7500877406,R0,1,0,0,False,True,False,310776.19436551223,10089223.805634487,0.0,1558176.562314581,R0,1,0,0,False,True,False,904532.9123765548,8652811.152009735,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,befa56096a73e1e92e93eb5813a51ddac18666a8c85755e4937efc7e86c18721,E3B,LA-0765,765,0.01293247677090883,1.4741839484477675,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,Medium,Reference,LA-0169,LA-0427,26139161.035637833,481650079.9654699,698026560.0,False,0,2093529.3124023215,False,0,0
E3B_MEDIUM_REFERENCE,LA-0334,334,edaf1d3f884b2a1b1bc5dfef3d1a8ae510e3ba39112540125e89d3ae561834b0,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,24a3ad67a358db61044cd682636696fed1ff63d60c55de05d4dd503328d04137,5a3328989594a9b8da05b407eb1251e363288efceeff31e374d14379ed837f13,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,399bdc0ff75af7c66786e860c60c455469a61f3235c0fd26236ad2091beeb133,3,2,2,73a7bebdaeb99ed68889a0e801d8b61f1fba20bee854ab3ef2837a029412182b,P4,False,False,False,Q[NONE]|F[Crackers],1224851817.1185174,1224851817.1185174,0.0,658586.0247389845,0.0,658586.0247389845,h09,5,Katrina,1224193231.0937784,18479319.830699492,1205713911.263079,1745228340.8182287,136729003.24615753,19137905.85543848,0.0,1.0,0.0,0.03441264836987544,0.0,0.9655873516301244,0.0,0.0,NONE,0,0,1,False,False,False,0.0,10400000.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,235533638.77831522,R0,1,0,0,False,True,False,136729003.24615753,1725270996.7538424,6eeeba088d61f7c9583382d54bac1c1f3c8c5f23d04b88fe369d2a774f2eb0c0,E3B,LA-0334,334,0.02983508566707432,1.4420922880200795,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,Medium,Reference,LA-0169,LA-0427,26944320.000000004,531999999.99999845,646769591.2630804,False,0,235533638.77831522,False,0,0
E3B_MEDIUM_REFERENCE,LA-0396,396,4a8ce3956cb01a1d091e6fc01863a6d00473bea19495791f759d72580abea560,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,277eef6a611979cf8830b0ac60b6536026f7d673dd20ab828469d4c73cf5a9be,efd27129ec30dad7c59d662bbb92fd51f60a5efde714bea754e6826df6e26c80,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,b7e0a78d2c649da1528353a2a6415b90381a925393b070fc9e9dcde1e225fa20,3,2,2,ed4f44333e25ad00d7630a060dc44802f0579edd8dc15f6320280b58c566efaa,P4,False,False,False,Q[NONE]|F[Water+Crackers],1203725470.0699959,1203725470.0699959,0.0,6084989.520115406,0.0,6084989.520115406,h09,5,Katrina,1197640480.5498805,13052916.335323073,1184587564.2145574,1750347901.61496,131609442.44942647,19137905.85543848,0.0,1.0,0.0,0.31795482567839134,0.0,0.6820451743216087,0.0,17915363.859447412,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,208799160.06559864,R0,1,0,0,False,True,False,121209442.44942647,1740790557.5505736,845183cf98a641ebbbc1ac5446d5729d153d44e305653e75b0057a9e311869e1,E3B,LA-0396,396,0.19520415540375965,0.721321823609993,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,Medium,Reference,LA-0169,LA-0427,0.0,531999999.99999845,652587564.214559,False,0,226714523.92504606,False,0,0
E3B_MEDIUM_REFERENCE,LA-0358,358,65f12d3443be917eb572e0eca29833f1866f1a45141d44db32bfff161cc2c593,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,80000b45580a97f00f64da1c6513ee6dd431931e94d98a853a8a4615de94c77f,cb21b17998afe5bc1ce0e88057bf4f878cb1044eaf8155309f6a4ce5b902965e,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,ebede33a67ab4de502432e2c16df3b27f0342b9692f62c77f02209bdafa1cff4,3,2,2,32a3b1099478f1cb930fc09f74dc4009d2f3372c51cd4c933b518364ade6ea05,P4,False,False,False,Q[NONE]|F[Vaccine],1160796126.9319978,1160796126.9319978,0.0,1739078.4556288058,0.0,1739078.4556288058,h09,5,Katrina,1159057048.476369,17398827.399809673,1141658221.0765593,1879885759.935983,2071584.1284032627,19137905.85543848,0.0,1.0,0.0,0.09087088570532426,0.0,0.9091291142946758,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,3568575.3294039113,R0,1,0,0,False,True,False,2071584.1284032627,7485759.935983026,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,82cce3510fd5bcc7d93994bdfc3a951cee8cf2443498a68820f9c5212be2759a,E3B,LA-0358,358,0.03501949556891065,0.6035357284185586,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,Medium,Reference,LA-0169,LA-0427,26944320.000000004,416687341.0765592,698026560.0,False,0,3568575.3294039113,False,0,0
E3B_MEDIUM_REFERENCE,LA-0467,467,10bba651114fcf8a3e1f592ebce456644653baea223751f04413e110919e8399,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,c8a1a5b7906f5577bb45c2e288ad348336e70d9b8f0875e6302e20b16d53a2c1,9cf02e244c84ea46d4b52cd9e12b682047733c4e7055f2c69a98afd8ab134a5f,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,d20933ac022aa6e97916773aec326bc88bd9faf8c8ef0b108510350a91a4bf05,3,2,2,6138718dfdc837bb18f17f0a7a60228f82904bf4e134c40e7fae47ac604a92f6,P4,False,False,False,Q[NONE]|F[Vaccine],1219878302.5034225,1219878302.5034225,0.0,11638846.383993419,0.0,11638846.383993419,h09,5,Katrina,1208239456.119429,7499059.471445058,1200740396.647984,1880947167.2292323,1010176.8351540404,19137905.85543848,0.0,1.0,0.0,0.6081567373102095,0.0,0.3918432626897904,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,1740162.073477852,R0,1,0,0,False,True,False,1010176.8351540404,8547167.22923225,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,1a297c411adbc9ea0d3f4059baf31e5b82d055db7a6b69e24312e01628eb5c29,E3B,LA-0467,467,0.4806244022732012,0.5334515390521819,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,Medium,Reference,LA-0169,LA-0427,26944320.000000004,475769516.64798397,698026560.0,False,0,1740162.073477852,False,0,0
E3B_MEDIUM_REFERENCE,LA-0021,21,9c0c8e916a30a3fa9f17a2b27ecaaa74ee626fafee16b17aef6e1fa739cc5936,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,3f87aaa6ad98ee7fd2c5465c33df1cf7f506a729180fe113f0562340eb36de6a,73375ceb5fb1856bfa6efebbdb3205627e17432d8b0283fb9e3993d28720c6b2,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,b33ee4b4ef1b028505eec7f79306130289f93a07b448ba8d24e777718dd4520b,3,2,2,5a3011b0bb7f9ef2c81023300ca8cfafb0df5231ed3ac5158fff2927f72048e1,P4,False,False,False,Q[NONE]|F[Crackers],1230748209.673915,1230748209.673915,0.0,3358593.7463174337,0.0,3358593.7463174337,h09,5,Katrina,1227389615.9275975,15779312.109121047,1211610303.8184764,1760957087.4982266,121000256.56615967,19137905.855438482,-3.725290298461914e-09,1.0000000000000002,0.0,0.17549431853658176,0.0,0.8245056814634184,0.0,0.0,NONE,0,0,1,False,False,False,0.0,10400000.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,208438809.94896552,R0,1,0,0,False,True,False,121000256.56615967,1740999743.4338403,def01aadf924bd08bf4da9a51ee092d1965ec81700d293208440a1ab73d346df,E3B,LA-0021,21,0.17192799958479546,1.3914560561114655,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,Medium,Reference,LA-0169,LA-0427,26944320.000000004,531999999.99999845,652665983.818478,False,0,208438809.94896552,False,0,0
E3B_MEDIUM_REFERENCE,LA-0148,148,7151e912cd4a11e3ecf51701a50a70afb496f08ac17c31ec24434fead2eac7fd,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,c7847fa759393387f3a9e2690ae5e5bf950d10c28c363f94020dc3e553d8af06,9fc606a5ec7fbad1d2f035c2450ad7d38ac10c2d77c5cc765f2f8fb689b8c3e6,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,629b43e08ef97c788867decc2ab00cee70e662316d61f2ee5c8fae8e38fbcaff,3,2,2,c175299de17f10b789e6d0d993f3069a6dc9fb942459d249d7c221c2b3b614df,P1,False,False,False,Q[Water+Vaccine]|F[NONE],1237882994.6648107,1237882994.6648107,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1218745088.8093722,0.0,1218745088.8093722,1871354673.196489,0.0,19137905.85543848,0.0,1.0,1.0,0.0,0.0,0.0,20608685.87785441,0.0,NONE,1,0,0,True,False,False,0.0,0.0,401613.4858734861,0.0,NONE,0,1,0,True,False,False,0.0,9354673.196489152,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,9d15ce359f9c2681ec26267758bcf65c51a0f3dae55d3e9d6f1cc07f5a60b124,E3B,LA-0148,148,0.4948772633961339,1.3230812760205821,0.28308465019645906,0.5314455503222604,0.14314840581258254,0.2574051439800011,Medium,Reference,LA-0169,LA-0427,0.0,520718528.8093721,698026560.0,False,0,0.0,False,0,0
