simulation_id,input_sha256,pre_fix_status,pre_fix_diagnostic,post_fix_A1_status,post_fix_A1_diagnostic,post_fix_A1_objective,post_fix_A1_certificate,post_fix_worst_scenario,post_fix_iterations,A0_status_if_needed,A0_objective_if_needed,EF_status_if_needed,EF_objective_if_needed
LA-0007,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1225804644.0397646,PASS,h09,3,not_needed,,not_needed,
LA-0012,5c1441ad663de3d58521ae8885de5adade81efac16c906e57da0eb3982b22bde,oracle_failure,Full exact certification was incomplete,certified,,1165686948.271296,PASS,h09,3,not_needed,,not_needed,
LA-0018,88740ccdbf47f9612cd99ce867900cdc74d3705aedf2a3bdefb1d376a8ffba59,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1226467795.5449755,PASS,h09,3,not_needed,,not_needed,
LA-0021,9c0c8e916a30a3fa9f17a2b27ecaaa74ee626fafee16b17aef6e1fa739cc5936,oracle_failure,Memory exact evaluation failed,certified,,1234715248.0580432,PASS,h09,3,not_needed,,not_needed,
LA-0043,bdc5747811a264908bd755c96486e7c3da7a6a1accb92f6f33a43cd1292740ff,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1240755166.6266437,PASS,h09,3,not_needed,,not_needed,
LA-0050,c0506d4ba38d90166b8124e9708158837f721cd06ef88fe92e1fde8a5c6c0e7c,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1226145596.0216982,PASS,h09,3,not_needed,,not_needed,
LA-0052,8393d2ec315cc810dc2bb9cf9dff8524763ca7deae7190abebab5fe855333c96,oracle_failure,Full exact certification was incomplete,certified,,1209768150.9077296,PASS,h09,3,not_needed,,not_needed,
LA-0068,60cb9806f6539dee04a0c52f4acd201386b18ff64aaf42e6767f8696c9abba82,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1230393426.7441406,PASS,h09,3,not_needed,,not_needed,
LA-0083,a5228df1055d490679fdd9d6298c014804b6b251a772e20eabc5cabfe6a6f64a,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1220724414.06626,PASS,h09,3,not_needed,,not_needed,
LA-0103,df1d73f9ded0745380418ef8366c146852a901f468bb9dc8b3a8546d58bb60c4,ValueError,Q-F-R invariant failed: worst-loss epigraph for h09,certified,,1232552080.6162043,PASS,h09,3,not_needed,,not_needed,
LA-0107,19b75788c0fe39d45cc6915d734ad37ee5e59bdd7bf9d963f1a5fd2948c2ec10,oracle_failure,Full exact certification was incomplete,certified,,1225356127.591658,PASS,h09,3,not_needed,,not_needed,
LA-0122,1ad927fbeddd0a52c342a8643f1c602c8bbfb4ba53c30b55c7a156c59776d00d,oracle_failure,Memory exact evaluation failed,certified,,1223192707.0301714,PASS,h09,3,not_needed,,not_needed,
LA-0138,0e63223b21ebec1fcb42a54f90493ae49725d226d80e7aa01a8a75182c17063e,oracle_failure,Full exact certification was incomplete,certified,,1161375009.8294826,PASS,h09,3,not_needed,,not_needed,
