case_id,simulation_id,sample_index,input_sha256,model_kind,algorithm_identity,implementation_revision,status,certificate_status,failure_type,failure_message,data_sha256,scenario_sha256,budget_ratio,budget,beta,lambda_Water,lambda_Vaccine,lambda_Crackers,gamma_D,h_V_tau,a_C,result_sha256,iterations,full_exact_certification_calls,complete_full_exact_certification_calls,first_stage_sha256,policy_label,mixed_aggregate_QF,same_item_QF_coexistence,cross_item_specialization,portfolio_pattern,T_COST,certified_objective,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,exact_worst_case_loss,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_spend,budget_residual,budget_usage,Q_budget_share,F_reservation_budget_share,R_budget_share,emergency_budget_share,Q_Water,F_Water,R_Water,z_R0_Water,z_R1_Water,z_R2_Water,Q_active_Water,F_active_Water,same_item_QF_Water,worst_exercise_Water,worst_shortage_Water,Q_Vaccine,F_Vaccine,R_Vaccine,z_R0_Vaccine,z_R1_Vaccine,z_R2_Vaccine,Q_active_Vaccine,F_active_Vaccine,same_item_QF_Vaccine,worst_exercise_Vaccine,worst_shortage_Vaccine,Q_Crackers,F_Crackers,R_Crackers,z_R0_Crackers,z_R1_Crackers,z_R2_Crackers,Q_active_Crackers,F_active_Crackers,same_item_QF_Crackers,worst_exercise_Crackers,worst_shortage_Crackers,experiment_part,background_simulation_id,background_sample_index,m_F,phi,psi,eta_1,eta_2,c_R1_ratio,c_R2_ratio,scaled_retry_count,witness_gated_retry_count,shortage_loss_Water,shortage_loss_Vaccine,shortage_loss_Crackers,F_total,paid_R_any,R1_item_count,R2_item_count,row_sha256
CQF_A080_MF080,LA-0914,914,ee8287c989d9f42998cac1b0ade9bc594e098eb99d83ed33e878189f5cc95b45,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,7c590f7919d9b328bc4638f752e05f528c1fb8985d141af856c2424f12341378,663f493f16f0700e13d30c199b9ffec8598ea4a3081af7144c9ab504b83bf900,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.8,c5ed891625a983f57cebff22e80b857d6623891280929fbf235ca7c18bb0da1f,3,2,2,a318dd51742e519f0e5174d57caf9f8af3e78abffbc67c7eb27dfa102ba25948,P4,False,False,False,Q[NONE]|F[Water+Crackers],1199597673.9902155,1199597673.9902155,0.0,6131016.83835086,0.0,6131016.83835086,h09,5,Katrina,1193466657.1518648,13006889.017087618,1180459768.134777,1739336921.8887,142620422.1756863,19137905.85543848,0.0,1.0,0.0,0.32035985988553656,0.0,0.6796401401144635,0.0,20834416.584864948,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,0,1,False,False,False,0.0,9557344.06438629,0.0,264878399.67643884,R0,1,0,0,False,True,False,132220422.17568631,1729779577.8243136,CRACKERS_QF_INTERACTION_SUPPLEMENT,LA-0914,914,0.8,0.16,0.68,0.41703436585592946,0.5904406859922471,0.1119855930660333,0.24608150148315483,0,0,0.0,531999999.99999845,648459768.1347787,285712816.2613038,False,0,0,1d7b7d856d97e957af677600562e9a11937354cef58646930e23923f55ceefad
CQF_A080_MF080,LA-0802,802,08d200d068730669000640f9037f4ea66dcff16c72d21874b825ba042565721f,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,f6eaaff65ef0a651ee275137b21a4a1936ecf3852dd13f59191621f87419ac1b,da223cdfa2b470b81c36af832a8aea97cd5aa8e81eb2840b7c8398688c2572d1,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.8,3e4d098e8d161eeb27a65efb63aec17df94e7b8d149db0c75dffd3b27865e632,3,2,2,3992c78092840c8567c822f64bd5dd5104e4cad2f7c457794bad722ac34f0ed0,P4,False,False,False,Q[NONE]|F[Crackers],1188010729.5474637,1188010729.5474637,0.0,4161236.283083032,0.0,4161236.283083032,h09,5,Katrina,1183849493.2643807,14976669.572355445,1168872823.6920252,1646953992.8373985,235003351.22698787,19137905.85543848,0.0,1.0,0.0,0.21743425401481534,0.0,0.7825657459851846,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,277504553.6627075,R0,1,0,0,False,True,False,235003351.22698787,1626996648.7730122,CRACKERS_QF_INTERACTION_SUPPLEMENT,LA-0802,802,0.8,0.16,0.68,0.22450693111694414,0.6983941516583669,0.264049851643112,0.35249072367712136,0,0,26944320.000000004,531999999.99999845,609928503.6920267,277504553.6627075,False,0,0,e6f7c54e3cef9cda9f9dbfbfe0d9787b0a65f01eb78422ca495c9a7d6c12922c
CQF_A080_MF080,LA-0642,642,df36bdc338b56dbdb6049ba0f8338289089a63b99a8d10e273f60fe82107fd03,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,aa79fb2ed391178dc6fc0780c1b33fc2a340deec6c97777ffe06f8eb6e1fe47b,838f7b2cf72dadf93254870bff0c3d4d70a6ef253054161c13854ebb2bac251a,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.8,fc1538fccbfdcbc59a37aa63f9a13cc195bd6d723149372e5029c00f551a9555,3,2,2,b1efc0eb86c9462981acc8bc1f7178237af7baff08b1653e096ce0f709e149c7,P4,False,False,False,Q[NONE]|F[Crackers],1198946733.4531045,1198946733.4531045,0.0,6020356.947041972,0.0,6020356.947041972,h09,5,Katrina,1192926376.5060625,13117548.908396507,1179808827.597666,1676126004.9629874,205831339.10139883,19137905.85543848,0.0,1.0,0.0,0.3145776237231906,0.0,0.6854223762768094,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,401485605.19646096,R0,1,0,0,False,True,False,205831339.10139883,1656168660.898601,CRACKERS_QF_INTERACTION_SUPPLEMENT,LA-0642,642,0.8,0.16,0.68,0.06699705468517274,0.4844005160083719,0.16895822976115987,0.5937229103707351,0,0,26944320.000000004,531999999.99999845,620864507.5976676,401485605.19646096,False,0,0,7e0758b7354056f1d47a0ac4250d79a46808e2591d318fa0d67c60c651cb9d5d
CQF_A080_MF080,LA-0765,765,029044c21e5aaa3ef1fdc23ba9f93ecbcab421d4ba2aea33a2a93e86bd5dc97c,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,c3c6e8da4607406ba9304998cea421cf115ebcdb900d928b2f5afa343ec7e373,3b50a601f0d7492d5e9b297e39ce5dbdbcb31f8499d382c4c3f9f6d074b7a2a1,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.8,f8216ac38496c14d53bf00c7c5aef85840bf4efbd8cad0f1f7a54edfa501c570,3,2,2,ef3fdc26ec2859412b6309962b98df3a5aa0f1504928a483de023c0abd2ac991,P4,False,False,False,Q[NONE]|F[Water+Crackers],1197336355.4928024,1197336355.4928024,0.0,5746592.693790615,0.0,5746592.693790615,h09,5,Katrina,1191589762.7990117,13391313.161647864,1178198449.637364,1733304808.952792,148652535.11159435,19137905.85543848,0.0,1.0,0.0,0.3002728060843495,0.0,0.6997271939156505,0.0,18967474.959288407,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,252144374.78724107,R0,1,0,0,False,True,False,138252535.11159435,1723747464.8884056,CRACKERS_QF_INTERACTION_SUPPLEMENT,LA-0765,765,0.8,0.16,0.68,0.1898448484679951,0.4371363058080994,0.28539794189257744,0.5283998480867639,0,0,0.0,531999999.99999845,646198449.6373655,271111849.74652946,False,0,0,c0fbef83adc520acf06b43b78d18e8ba468d531f168e096b4a9916ba645e5a53
CQF_A080_MF080,LA-0334,334,edaf1d3f884b2a1b1bc5dfef3d1a8ae510e3ba39112540125e89d3ae561834b0,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,c8dc4c8594ef4602954513ca0b144b88d765d62b31ca459142f45899f8be04b0,dfcb4cb0c3a31cc625229332ea177ead411bcdbc9a62105ff67c9ce2e224a241,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.8,2778f7fd23eddc655247ff97ca450f6c79ce24f9da3c98bef783759f2fab1de6,3,2,2,5b2dc1ded3e8f75acc3974dc081fe87c348d808ce6781b57838443d62d07e0bd,P4,False,False,False,Q[NONE]|F[Water+Crackers],1189057490.0908477,1189057490.0908477,0.0,4339185.575458294,0.0,4339185.575458294,h09,5,Katrina,1184718304.5153894,14798720.27998018,1169919584.2354093,1711220767.6543636,170736576.41002268,19137905.855438475,3.725290298461914e-09,0.9999999999999998,0.0,0.2267325175614872,0.0,0.7732674824385126,0.0,12960039.706589645,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,199804653.5281287,R0,1,0,0,False,True,False,160336576.41002268,1701663423.5899773,CRACKERS_QF_INTERACTION_SUPPLEMENT,LA-0334,334,0.8,0.16,0.68,0.2895217928490091,0.7929187165613949,0.17394007451564966,0.24644435350093383,0,0,0.0,531999999.99999845,637919584.2354107,212764693.23471835,False,0,0,5c0722758950b2c4b9bff6fc12be975d4386eadcd04bbfdeab5ecadfad84a630
CQF_A080_MF080,LA-0396,396,4a8ce3956cb01a1d091e6fc01863a6d00473bea19495791f759d72580abea560,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,89ef3c9436856e0a6cf451901eeb373cef0fc99316f6f2e74b87b05170cbfee9,15cfdb765b791e74408fa2af35f9876e005e17106ccaa9b3f7daa14f2218a0b2,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.8,0813bde3b39e1c3272f7cfbde9e45b458b232ccf8058d77639cc6c92b7692422,3,2,2,005606c40239268804f811f5682dfb7020181773d7404fec18563c59d4af847e,P4,False,False,False,Q[NONE]|F[Crackers],1188014104.7823486,1188014104.7823486,0.0,4161810.073013425,0.0,4161810.073013425,h09,5,Katrina,1183852294.709335,14976095.782425053,1168876198.92691,1646962996.34488,234994347.71950638,19137905.85543848,0.0,1.0,0.0,0.21746423587044403,0.0,0.7825357641295559,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,277542818.5695039,R0,1,0,0,False,True,False,234994347.71950638,1627005652.2804937,CRACKERS_QF_INTERACTION_SUPPLEMENT,LA-0396,396,0.8,0.16,0.68,0.2258018163452346,0.4689931271083667,0.24058119227255972,0.5575706905747949,0,0,26944320.000000004,531999999.99999845,609931878.9269115,277542818.5695039,False,0,0,23d11b6267ff49902e049bb2d5eb451a83ecf747e8d50440ba04d98444bce17b
CQF_A080_MF080,LA-0358,358,65f12d3443be917eb572e0eca29833f1866f1a45141d44db32bfff161cc2c593,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,83add4301c1d314caa2f757ef9741d9cdd6bcc6d0c07deb3c9b1582a02f1a327,dba0f2fd04b4d9003b835f260817787fcc69acbc22a653076f34b70045485ed8,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.8,e8cf291afdf0c277b2fd39af68c2add8ecbfdbdba3c8f35370380d904a82c5de,3,2,2,8bf831d75d876e17a9c2bc912f75d225fab3816f27a280957fca168d32e8de04,P4,False,False,False,Q[NONE]|F[Crackers],1210251222.630765,1210251222.630765,0.0,7942120.107244257,0.0,7942120.107244257,h09,5,Katrina,1202309102.5235207,11195785.74819422,1191113316.7753265,1706280959.0220478,175676385.04233858,19137905.85543848,0.0,1.0,0.0,0.41499420925342884,0.0,0.5850057907465711,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,529644159.94746697,R0,1,0,0,False,True,False,175676385.04233858,1686323614.9576614,CRACKERS_QF_INTERACTION_SUPPLEMENT,LA-0358,358,0.8,0.16,0.68,0.18122989396527178,0.8836407375974568,0.169448012860699,0.30677213883897214,0,0,26944320.000000004,531999999.99999845,632168996.775328,529644159.94746697,False,0,0,a047c3f8115034487184c5286ab97ad48052bd4aae7bedeacec2d65f0afa6d89
CQF_A080_MF080,LA-0467,467,10bba651114fcf8a3e1f592ebce456644653baea223751f04413e110919e8399,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,a242091a31eff3256a5015f760807d76cf18aea97a2f29d3c37dbbd0f07c42ff,84d3ed63a907a0ce646917e3248ec6fa8d786775cf8b8b995e5155801c8ef810,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.8,09411fb82187fce03ca6981e0a87e65da7f657961a5bd1fca9e7d4ba37d66e6b,3,2,2,5e6ae8d442a3e466b9ef9f75b651d88b3772171430281d71850cd156c8c279d9,P4,False,False,False,Q[NONE]|F[Vaccine],1205517237.8365471,1205517237.8365471,0.0,6293328.07016428,844014.6220629379,7137342.692227218,h09,5,Katrina,1198379895.14432,12000563.16321126,1186379331.9811087,1880689171.6725552,1268172.3918311612,19137905.85543848,0.0,1.0,0.0,0.328840998471935,0.044101722959573014,0.627057278568492,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,2826480.3419464463,R1,0,1,0,False,True,False,1268172.3918311612,8289171.672555128,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,CRACKERS_QF_INTERACTION_SUPPLEMENT,LA-0467,467,0.8,0.16,0.68,0.16440350159778977,0.6856890866437177,0.021458016811531793,0.5243704835539995,0,0,26944320.000000004,461408451.98110867,698026560.0,2826480.3419464463,True,1,0,2638c9e83691075075a5c83a9b23db41eaf4cde415acb500db2ff5f11c99bf34
CQF_A080_MF080,LA-0021,21,9c0c8e916a30a3fa9f17a2b27ecaaa74ee626fafee16b17aef6e1fa739cc5936,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,92c31c27268437d342c9c3cf0b18c8521017c47276cac172c0c4dc13ea8dda83,cf90ac8884db2cbc00c8e1bf27ef07477342ce2234e2ca26bd75adc27c64b1dd,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.8,cc18fc1fd0b3e23c3549fd90d026fd7616e238d4b90823dfbf906a54799d32c6,3,2,2,1b86eb8e796d2d9cafd93fad7d50358835ab77743eaf8407c7fe7a8cdfb99297,P4,False,False,False,Q[NONE]|F[Water+Crackers],1203686691.2662616,1203686691.2662616,0.0,6826149.775278667,0.0,6826149.775278667,h09,5,Katrina,1196860541.490983,12311756.080159811,1184548785.410823,1750244458.36983,131712885.69455655,19137905.85543848,0.0,1.0,0.0,0.3566821692426112,0.0,0.6433178307573888,0.0,24506318.847034913,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,285858870.87352914,R0,1,0,0,False,True,False,121312885.69455655,1740687114.3054435,CRACKERS_QF_INTERACTION_SUPPLEMENT,LA-0021,21,0.8,0.16,0.68,0.4895801788402024,0.7979024230837806,0.1780116821200538,0.5815412425832497,0,0,0.0,531999999.99999845,652548785.4108247,310365189.72056407,False,0,0,1269cdf611bb3be7ec8f4d063176fb4a5b5c5cbc615204ab10c30abe04c7421d
CQF_A080_MF080,LA-0148,148,7151e912cd4a11e3ecf51701a50a70afb496f08ac17c31ec24434fead2eac7fd,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,776139eca32a481b98a51c82001ae5be090201d3210662941d42ad6ae7a3abe8,02cf3e213965b52416d4cc06db651e7a6598e5563a55e7a199c466e6a67ce357,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.8,b0702474e30f95bf9c8a28f20e1b28ff80af67daed080002ee154d853f321ac7,3,2,2,74aa0a9dd3e42580f4e71cbd598be82a20b9b2751e4d99707ddee33494c26952,P4,False,False,False,Q[NONE]|F[Water+Crackers],1189698117.4789383,1189698117.4789383,0.0,4448092.231433711,0.0,4448092.231433711,h09,5,Katrina,1185250025.2475047,14689813.624004766,1170560211.6234999,1712929654.1996334,169027689.8647531,19137905.85543848,0.0,1.0,0.0,0.23242314310840248,0.0,0.7675768568915975,0.0,13383810.1463789,R0,1,0,0,False,True,False,10399999.999999996,3.725290298461914e-09,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,204138738.95274305,R0,1,0,0,False,True,False,158627689.8647531,1703372310.135247,CRACKERS_QF_INTERACTION_SUPPLEMENT,LA-0148,148,0.8,0.16,0.68,0.05591599509288373,0.4695359446158535,0.020611356015534925,0.45254055164375706,0,0,9.651482105255128e-09,531999999.99999845,638560211.6235014,217522549.09912196,False,0,0,88e04251f434eb0a9a88637d090abca7fe0dbb2bdcb4c0ce27a11466953c854e
