field,source,location,original_value,original_unit,transformation,final_value,final_unit,provenance_class,notes
raw_hurricane_demands,Rawls and Turnquist (2010),Table 3,15 event demand rows,"1000 gallons; 1000 meals; medical units",verbatim reconstruction,15 event rows,source units,EMPIRICAL_SOURCE,Primary Gulf Coast case source
scenario_composition,Rawls and Turnquist (2010),Table 4,51 scenario definitions,scenario,verbatim reconstruction,15 single + 35 combined + 1 no-hurricane,scenario,SOURCE_DERIVED,51 rows are not 51 independent historical hurricanes
scenario_probability,Rawls and Turnquist (2010),Table 4,51 probabilities,probability,verbatim reconstruction and sum check,1.0,total probability,EMPIRICAL_SOURCE,Single scenarios sum to .75; combined plus no-hurricane sum to .25
rawls_cross_check,Yang et al. (2021),Tables 12-13,15 events and 51 scenarios,source tables,cell-by-cell cross-check,PASS,audit status,SOURCE_DERIVED,No substantive discrepancy found against Rawls Tables 3-4
raw_water_unit,Rawls and Turnquist (2010),Table 2,Water unit,1000 gallons,multiply by 1000,1,gallon,SOURCE_DERIVED,Physical unit conversion only
raw_mre_unit,Rawls and Turnquist (2010),Table 2,Food unit,1000 MRE meals,multiply by 14000,14 crackers SU per MRE-thousand factor,22 g serving,SOURCE_DERIVED,Approximate energy-service normalization; not physical package equivalence
raw_medical_unit,Rawls and Turnquist (2010),Table 2,Medical Kits unit,single abstract medical unit,multiply by 140/13.916,10.0603621730382,dose,SOURCE_DERIVED,Economic-scale-preserving service normalization; not medical equivalence
rawls_water_cost,Rawls and Turnquist (2010),Table 2,647.7,USD per 1000 gallons,divide by 1000,0.6477,USD per gallon,SOURCE_DERIVED,Primary-case acquisition cost
rawls_medical_cost,Rawls and Turnquist (2010),Table 2,140,USD per abstract medical unit,use as numerator of economic normalization,140,USD per source unit,EMPIRICAL_SOURCE,Does not imply one kit equals vaccine doses
vaccine_price,CDC 2025-2026 Adult Influenza Vaccine Price List,Fluarix TIV row NDC 58160-0912-52,13.916,USD per dose,selected frozen contract-price anchor,13.916,USD per dose,EMPIRICAL_SOURCE,GSK 10-pack single-dose syringe; CDC contract 75D30125D20401; extracted 2026-08-31
